Prot_1,Prot_2
SP4,PRR20B
SP4,PRR20C
SP4,PRR20D
SP4,PRR20E
SP4,POGZ
SP4,ELK3
SP4,POU2F1
SP4,HIVEP1
SP4,SPANXN2
SP4,GTF2A1
YJU2,REL
YJU2,ZNF143
PNP,TGIF1
CREBBP,ETS1
CREBBP,RELA
CREBBP,CREB1
CREBBP,RUNX1
CREBBP,NFATC2
CREBBP,HIF1A
CREBBP,JUN
CREBBP,GTF2B
CREBBP,FOS
CREBBP,STAT2
CREBBP,IRF3
CREBBP,HMGA1
CREBBP,FOXO3
CREBBP,SREBF2
CREBBP,FOXO1
CREBBP,NR3C1
CREBBP,STAT6
CREBBP,ATF4
AAAS,REL
LAP3,ZNF76
LAP3,JUN
A6PW31,NFYC
A6PW31,CREB1
SIX4,JUN
HMG20A,THAP11
ZFP82,TRIM33
RFX5,RFXANK
RFX5,ECT2
RFX5,GIGYF2
RFX5,CDC73
RFX5,CIITA
RFX5,KIF23
RFX5,APEX1
RFX5,H3C1|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H3C10|H3C11|H3C12
RFX5,COL1A2
RFX5,ANKRA2
RFX5,RFXAP
RFX1,FOXJ2
RFX2,FOXJ2
RFX3,FOXJ2
RFX3,CREB1
IBA57,JUN
ABCE1,JUN
UQCRC2,JUN
KHDRBS1,JUN
H2AC20,ELK4
TARS1,JUN
TARS3,JUN
TARS3,ATF4
DPYSL2,LEF1
BOP1,KLF10
SKP2,FOXO3
SKP2,FOXO1
KDM3A,HIF1A
NIF3L1,STAT3
NOP9,JUN
EIF2B4,JUN
EIF2B4,FOS
EIF2B5,JUN
EIF2B3,JUN
EIF2B1,JUN
PRKAR2A,JUN
MAGT1,JUN
QPRT,SATB1
MECOM,FOXJ2
CLIC4,REL
ITGA3,ELK4
LARP4B,JUN
KRTAP2-3,YY1
FOXL1,IRF9
FOXL1,YY1
FOXL1,SATB1
FOXL1,NR3C1
SF1,JUN
HLA-DPA1,SREBF2
H0YAA0,JUN
ZMAT2,IKZF1
MYBL2,BCL11A
PLPBP,SATB1
PHLDA2,ELK1
CDC5L,JUN
RAC1,JUN
VCP,JUN
AP2A1,JUN
PBX4,GTF2B
PBX4,BCL6
FIGNL1,JUN
FIGNL1,THAP11
PBX2,CREB1
PBX3,MICOS13
PBX3,HSD17B13
PBX3,RNF186
PBX3,DESI2
PBX3,MBLAC2
PBX3,TRAF1
PBX3,KRT31
PBX3,MTERF3
PBX3,TMCO2
PBX3,COQ8A
PBX3,FOXE1
PBX3,MEIS2
PBX3,JPH3
PBX3,ITGB3BP
PBX3,MAGEC2
PBX3,MAB21L2
PBX3,SMPD2
PBX3,MAGEA1
PBX3,CAV3
PBX3,GAD2
PBX3,FKBP7
PBX3,MDK
PBX3,BIK
PBX3,RPRM
PBX3,RABAC1
PBX3,TPM3
PBX3,MAB21L1
PBX3,HIGD1C
PBX3,PLIN3
PBX3,AGTRAP
PBX3,REEP5
PBX3,SIN3A
PBX3,ZNHIT3
PBX3,NUDT9
PBX3,ARFIP2
PBX3,SCAMP1
PBX3,GBP7
PBX3,MAL2
PBX3,KRT27
PBX3,ARL6IP1
PBX3,LMX1B
PBX3,CPLX2
PBX3,FAM177A1
PBX3,PTPN9
PBX3,DGAT2L6
PBX3,TVP23B
PBX3,TPD52L1
PBX3,TRIM44
PBX3,PRB3
PBX3,CIDEB
PBX3,FADS6
PBX3,SYPL1
PBX3,RHEX
PBX3,BSND
PBX3,FSD2
PBX3,LIME1
PBX3,SFT2D2
PBX3,INPP5K
PBX3,TFIP11
PBX3,SYP
PBX3,RHBDD2
PBX3,TMEM196
PBX3,ZNF655
PBX3,INSYN1
PBX3,CMTM4
PBX3,CMTM5
NSUN2,JUN
NSUN5,JUN
TUBG1,GTF2I
PTCH1,ATF6B
TIMM44,GTF2B
TUFM,JUN
KMT5C,JUN
CDR2L,REL
CDR2L,ZSCAN22
SRSF11,THAP11
SRSF11,JUN
SRSF11,ETS1
CALM3,RELA
CALM3,REL
SPG21,TCF12
SPG21,REL
SPG21,SATB1
SPG21,IKZF3
GSDMD,ZBTB33
E9KL35,HIF1A
DLGAP5,JUN
MBNL1,ZNF143
PLK3,HIF1A
PLK3,POU2F1
CDX2,RELA
OIP5,THAP11
OIP5,JUN
BRD4,JUN
BRD4,DNMT1
BRD4,RELA
BRD4,FOXK1
BRD4,STAT3
BRD4,HMGA1
BRD1,ZNF281
BRD1,MAZ
BRD1,CTCF
BRD1,ZBTB33
BRD1,ZNF148
BRD1,YY1
BRD1,ZNF460
BRD1,TCF12
BRD2,JUN
BRD2,STAT3
BRD2,CTCF
BRD2,YY1
BRD3,JUN
DNAJA2,ELK1
DNAJA3,JUN
DNAJA3,FOSL2
DNAJA3,RELA
DNAJA1,RELA
DNAJA1,ELK1
AKT1,YBX1
AKT1,HIF1A
AKT1,FOXO1
AKT1,FOXO3
AKT1,SOX4
PTPN11,STAT3
MYCBP,ELK4
LYAR,JUN
LYAR,YY1
MRPL27,ZNF22
MRPL20,ZNF22
MRPL22,BCL11A
MRPL22,JUN
MRPL28,IKZF3
HABP4,YBX1
ZSCAN9,ZSCAN22
ZSCAN1,MZF1
ZSCAN1,GTF2B
ZSCAN1,ZSCAN22
ZSCAN1,NFYC
SRSF5,JUN
SRSF4,JUN
SRSF7,JUN
SRSF7,ELK4
SRSF6,JUN
SRSF1,JUN
SRSF1,SATB1
CHD1L,NR4A1
SRSF3,JUN
SRSF2,JUN
SRSF9,JUN
SRSF9,YBX1
RNF138,LEF1
CLNS1A,ELK4
TSHZ1,FOXJ2
FOXS1,SATB1
FOXS1,POU2F1
FOXS1,POU2F2
ZNF581,IKZF1
ZNF580,IKZF1
ZNF587,IKZF1
ZNF587,IKZF3
LSM12,JUN
MYO1F,IRF9
MYO1C,ELK4
MYO1C,JUN
RPL36AL,ZNF22
PGBD1,NR4A1
PGBD1,ZSCAN22
HOXA10,NFATC1
KRTAP19-1,BCL6
KRTAP19-5,VEZF1
KRTAP19-5,FOS
SRC,HIF1A
SRC,STAT3
NEMF,JUN
ZNF326,JUN
SRF,ELK1
SRF,ELK4
TSSK3,REL
TSSK3,IKZF3
FAM214B,IKZF1
SRI,STAT3
SRI,TCF12
EIF2AK3,FOXK1
TDG,JUNB
TDG,IKZF1
TDG,STAT3
ASAP3,REL
ATG101,FOXO3
ALOX5,REL
PIGC,KLF10
PIGR,GTF2B
SRRM1,ZNF22
PDK3,JUN
LNPEP,REL
ALPI,JUN
PTGS2,JUN
CEP120,STAT3
ARHGAP26,YY1
DDIT3,BATF
DDIT3,JUNB
DDIT3,FOS
DDIT3,FOSL2
DDIT3,ATF4
DDIT3,ATF3
DDIT4,KLF3
NKRF,JUN
DR1,ZSCAN22
DR1,NFYC
MTURN,REL
TERF2,JUN
C14ORF93,GTF2B
RASSF1,RELA
RASSF5,REL
NHP2,YBX1
CHD3,CREB1
CHD3,JUN
CHD3,NR4A1
CHD3,IKZF1
CHD3,BCL11A
CHD5,BCL11A
CHD4,DNMT1
CHD4,NFATC1
CHD4,IKZF1
CHD4,JUN
CHD4,FOXJ2
CHD4,BCL11A
CHD4,IKZF3
CHD8,CREB1
GID4,IKZF3
CAP1,JUN
ESRRG,REL
DDX5,JUN
DDX5,YBX1
DDX5,YY1
TTC1,HIF1A
TTC1,SREBF2
IL4R,STAT6
EFHC1,REL
EFHC1,IKZF3
ETHE1,RELA
MPG,JUN
PRDM15,NFATC1
PRDM10,REL
ABCG8,NR4A1
HNF4A,HIF1A
HNF4A,FOXO1
HNF4A,SREBF2
POLRMT,JUN
KDM1A,RREB1
KDM1A,DNMT1
KDM1A,JUN
KDM1A,ZNF333
KDM1A,BATF
KDM1A,GATA3
KDM1A,KLF3
H2AC14,ELK4
H2AC12,ELK4
FAHD1,JUN
HESX1,STAT3
LOC51064,GTF2I
FHOD1,JUN
PRKACA,RELA
STAMBPL1,REL
STAMBPL1,IKZF3
PSMB6,JUN
PSMB5,JUN
PSMB4,JUN
PSMB4,FOXJ3
PSMB4,BCL6
PSMB3,JUN
PSMB1,JUN
TALDO1,JUN
A8K932,IKZF1
CIART,NFYC
CRY1,FOXO1
TRIML2,ZBTB33
ACOT12,PAX5
ACOT12,REL
NACC1,FOXJ2
SCAF11,STAT3
TMEM165,REL
FOXN1,YY1
FOXN1,NR2F6
FOXN1,SATB1
GRIN2C,ZNF333
TAP2,ZNF281
CHTF18,STAT3
SNAP91,JUN
SAR1A,JUN
DBN1,JUN
CDC73,JUN
SEMG1,JUN
NEUROG3,REL
NEUROG3,TCF12
GTF2F1,GTF2B
GTF2F2,GTF2B
AKAP8,FOXJ2
AKAP9,IKZF3
EIF2A,JUN
LHX6,ZNF76
LHX6,KLF3
LHX6,NRF1
RRP1B,JUN
HSP90B1,JUN
KRR1,JUN
VSX2,GTF2B
MAP3K8,REL
MAP3K8,RELA
CUX1,NFATC1
CUX1,FOXO1
CUX1,JUN
CUX1,FOXJ2
KLHL38,IKZF3
KLHL38,PAX5
KLHL38,ZNF341
DNAJC8,EGR1
DNAJC9,FOXO1
DNAJC9,JUN
DNAJC7,JUN
MAP3K3,GTF2I
RRP15,JUN
RALBP1,JUN
RALBP1,HMGA1
ZNF835,ZNF121
ZNF837,ZNF121
LRIF1,KLF3
LRIF1,FOSL2
LRIF1,TGIF1
LRIF1,ATF3
ACAT2,ZNF76
IKBKB,FOXO3
IKBKB,RELA
MECP2,CREB1
MECP2,YBX1
MECP2,JUN
MECP2,YY1
PLAAT5,ZNF783
ATF7IP,CREB1
ATF7IP,SREBF2
SPAG16,VEZF1
SRBD1,JUN
ITCH,JUN
CHMP4B,ZNF281
CHMP4B,CTCF
CHMP4B,GTF2I
CHMP4B,STAT3
CHMP4B,HMGA1
CHMP4C,YBX1
CHMP4C,GTF2I
BAX,EGR1
BAX,YY1
RBL1,FOXO3
RBL1,FOXK1
RBL1,NR4A1
RBL1,E2F4
CDK18,REL
CDK18,IKZF3
GFI1B,IRF9
PMPCA,ZNF76
CDK12,JUN
ATP6V1B1,JUN
ATP6V1B2,JUN
BFSP2,ATF4
HOXB13,IRF4
HOXB13,ELK1
HOXB13,POU2F1
NCL,JUN
NCL,RELA
CTNNBIP1,REL
PPP3CA,NFATC1
PPP3CA,JUN
PPP3CA,ELK1
KARS1,JUN
LRRC40,JUN
LRRC47,JUN
FGFR4,HIF1A
FNDC8,ZNF76
RPL18,JUN
RPL18,RELA
FGFR3,ZNF333
FGFR3,GATA3
FGFR3,RELA
FGFR3,BATF
FGFR3,JUN
FGFR3,CREM
FGFR3,ATF3
FGFR3,FOSL2
FGFR3,JUNB
FGFR3,KLF3
PWWP2A,BCL11A
CXCL1,RELA
DAAM2,REL
TUFT1,THAP11
TUFT1,CREB1
FN1,YBX1
FN1,HIF1A
FN1,HMGA1
CAVIN1,THAP11
CAVIN1,JUN
SAP30,FOXK1
SAP30,BCL11A
SAP30,GTF2B
ICMT,ELK1
ATP6V0A1,ZNF267
KRT75,ZNF76
ATM,NR4A1
U2SURP,JUN
ENO1,JUN
ENO1,BCL6
ENO2,HSF1
VENTX,CREM
VENTX,IRF9
PTK2,ZNF331
PTK6,REL
PTK6,ZNF341
PTK6,IKZF3
PRKAA2,FOS
PRKAA2,IKZF3
PRKAA2,REL
PRKAA2,IKZF1
PRKAA1,IKZF3
ITGB3BP,HSF1
ITGB3BP,FOS
ARHGDIB,FOS
ARHGDIA,JUN
EBF3,JUN
BDH2,NFYC
BDH1,ELK1
DDX23,JUN
DDX21,JUN
DDX21,RELA
DDX21,YBX1
DDX20,JUN
DDX27,JUN
DDX24,JUN
DDX28,YBX1
ZNF92,STAT6
ZNF92,CREB1
TASOR2,STAT3
TASOR2,ZNF200
TASOR2,ZNF76
RAB3IP,ZNF76
FBXO11,JUN
FBXO11,FOSL2
TACO1,YY1
ZNF579,NR4A1
KLF3,BAG6
KLF3,HRAS
KLF3,DVL3
KLF3,HTRA2
KLF3,KLF11
KLF3,EHMT2
KLF3,PRPS1
KLF3,LHX8
KLF3,CRYAA2
KLF3,OTX2
KLF3,FHL3
KLF3,KCNIP3
KLF3,TRAF2
KLF3,HSPB1
KLF3,SUV39H2
KLF3,ATN1
KLF3,KLK6
KLF3,GIPC1
KLF3,PEX1
KLF3,BACE2
KLF3,KIF1B
KLF3,NUP58
KLF3,HTT
KLF3,CTBP1
KLF3,CTBP2
KLF3,WFS1
KLF3,ATXN1
PROX1,IRF4
PROX1,RORA
BCLAF1,ELK4
ERBB2,STAT3
KRTAP1-3,YY1
SHC3,REL
CGRRF1,SREBF2
TMEM109,JUN
NACAD,NR4A1
NACAD,STAT3
ZCWPW1,MEF2A
FKBP1B,REL
FKBP1A,ZNF341
STAT6,WWP1
STAT6,EEF1A1
STAT6,POLK
STAT6,NCOA1
STAT6,STAT3
STAT6,STAT2
STAT6,APEX1
STAT6,CEBPZ
STAT6,RLIM
STAT6,ZBTB2
STAT6,RCN3
STAT6,TRIM24
STAT6,UBC
STAT6,SND1
STAT6,EP300
STAT6,CCL11
STAT6,DAZAP2
STAT6,ANKZF1
STAT6,F8WCX0
STAT6,FCER2
STAT6,IRF4
STAT6,KIF22
STAT6,ZNF407
STAT6,NMI
DAXX,HSF1
DAXX,DNMT1
DAXX,RELA
DAXX,ETS1
DAXX,NR3C1
MAP1A,JUN
MAP1B,JUN
SPICE1,YBX1
FRMD6,IKZF1
FRMD6,TCF12
PTCD3,JUN
PTCD3,ATF4
PTCD3,YBX1
DPF2,JUN
DPF2,RELA
FNDC11,REL
RPL18A,JUN
SIX1,REL
RPL36A,JUN
EPB41L3,JUN
EPB41L5,JUN
MACROH2A1,JUN
MACROH2A2,JUN
DCAF13,YY1
DCAF13,JUN
UBE2O,JUN
UBE2O,MAF
UBE2O,YBX1
VHL,HIF1A
AGXT,FOSB
MOGS,JUN
RECK,REL
GPRIN1,ZNF281
KAT2B,FLI1
KAT2B,IRF2
KAT2B,IRF1
KAT2B,HIF1A
KAT2B,SATB1
KAT2B,KLF13
INSR,IRF7
RUNX1T1,TCF12
RUNX1T1,REL
SPTBN1,MEF2C
SPTBN1,SREBF2
KLF13,VIRMA
KLF13,PCBD1
KLF12,THAP1
KLF12,PMP22
KLF12,EHMT2
KLF12,APP
KLF12,LMO3
KLF12,KAT5
KLF12,TCTE1
KLF12,SETDB1
KLF12,FHL2
KLF12,FHL3
KLF12,HTT
KLF12,PPIB
KLF12,VIRMA
KLF12,CTBP1
KLF12,YWHAG
KLF11,ZNF333
KLF11,NFYC
KLF10,Q8N1F1
KLF10,A9C4B2
KLF10,UBC
KLF10,SF3B3
KLF10,CRIP2
KLF10,RPL14
KLF10,SIAH1
KLF10,TULP3
KLF10,LENG1
KLF10,TNS1
KLF10,ZNF512B
KLF10,SIN3A
KLF16,FOXJ2
KLF16,ZBTB33
KLF15,HSF1
KLF15,ZNF76
KLF15,GTF2B
KLF15,FOS
KLF15,STAT3
KLF15,NFYC
KLF15,NRF1
TFAP2A,JUN
TFAP2D,IKZF3
PCNA,DNMT1
PCNA,RELA
PCNA,JUN
PCNA,FOXN3
ZBTB7A,RELA
ZBTB7B,RELA
ZBTB7B,BCL6
MSI1,JUN
UBE2R2,JUN
C14ORF119,REL
RPA1,JUN
ADNP2,NFYC
RPA2,FOXJ3
RPA2,STAT3
NDUFS2,EGR2
NDUFS3,JUN
NDUFS8,JUN
ILF3,YBX1
ILF3,JUN
ILF2,RELA
ILF2,YBX1
ILF2,JUN
ILF2,ZNF22
NEK7,RREB1
ZRANB1,VEZF1
DMRTC2,IRF9
ZRANB2,CTCF
HBB,FOXO1
CHMP2A,E2F4
RREB1,HDAC1
RREB1,HDAC2
RREB1,ZMYND8
RREB1,TOR1AIP2
RREB1,CIT
RREB1,ARL6
RREB1,SUMO2
RREB1,SNCA
RREB1,VIRMA
RREB1,CTBP1
TPX2,THAP11
TPX2,JUN
Q9Y649,RELA
PHC2,DNMT1
PHC2,FOSB
SAFB,JUN
HDAC4,YY1
HDAC4,MEF2C
HDAC4,MEF2A
HDAC4,MEF2D
HDAC4,HIF1A
HDAC4,BCL6
RNF4,CREB1
RNF4,IKZF1
RNF2,FOXJ2
RNF2,YY1
ZFHX3,POU2F1
CLTC,RELA
CLTC,JUN
CLTC,REL
NGLY1,PAX5
NGLY1,TCF12
NMD3,JUN
TEX43,ZNF76
TEX43,NRF1
TEX48,ZNF441
PRSS3,JUN
PRSS3,SATB1
PRSS3,CTCF
RECQL,JUN
RECQL,CREB1
RECQL,FOXO1
RECQL,NFATC1
B7Z8L6,YY1
B7Z8L6,DNMT1
Q9HAV2,PRDM1
SRPRA,JUN
ACTR8,YY1
ACTR8,GTF2I
ACTR5,YY1
ACTR5,ZNF148
XPNPEP3,JUN
FBF1,IKZF3
LYSMD2,HIF1A
ADNP,NFATC1
ADNP,JUN
ADNP,FOXJ2
POLDIP3,JUN
POLDIP2,JUN
ALDH18A1,JUN
ACTN3,REL
TBR1,JUN
TGS1,ZNF76
C22ORF15,ZNF76
KHDRBS2,YBX1
ZNF592,JUN
GLB1,FOS
SEPTIN2,JUN
SEPTIN6,NR3C1
SEPTIN7,REL
SEPTIN9,HIF1A
LMNA,ZSCAN22
LMNA,JUN
LMNA,KLF6
CPNE2,REL
CPNE2,JUN
DNMT3B,DNMT1
DNMT3A,ZBTB17
DNMT3A,DNMT1
SHFL,IKZF1
NDEL1,ZNF180
SNRPB,ZNF143
SNRPB,JUN
SNRPB,CREM
SNRPC,RUNX1
SNRPC,CREM
SNRPF,IKZF1
SNRPE,JUN
KLC4,MEF2A
ZDHHC17,ZNF333
ZDHHC17,ZNF341
ZDHHC17,SREBF2
ZDHHC17,NFYC
PCSK6,ZNF441
HIPK2,HMGA1
HIPK4,ZNF281
FAM74A4|FAM74A6,IKZF1
LARP4,JUN
LARP4,PAX5
LARP7,JUN
LARP7,YBX1
DDX49,JUN
DDX41,JUN
DDX42,YY1
DDX47,JUN
DDX46,JUN
IFNAR1,STAT2
EIF5A2,REL
ELAVL1,HIF1A
ELAVL1,JUN
ELAVL1,ATF3
CDKN1B,IRF1
CDKN1A,REL
CDKN1A,IKZF3
UBE2D2,NFYA
TARS2,JUN
FERD3L,TCF12
SAP130,FOXK1
SAP130,BCL11A
APOD,JUN
APOM,KLF6
NDUFV2,JUN
NDUFV2,ZSCAN22
MLKL,ZNF281
NFIL3,CREB1
FOXJ1,FOXJ3
FOXJ3,NEK6
FOXJ3,ZBTB2
FOXJ3,ZBTB10
FOXJ3,TP53
FOXJ3,ESR1
FOXJ3,MED23
FOXJ3,ALB
FOXJ3,RANGAP1
FOXJ3,APEX1
FOXJ3,USP11
FOXJ3,MED4
FOXJ3,UBR2
FOXJ3,SMARCA5
CCDC57,IKZF3
NUFIP2,JUN
NUFIP2,YY1
NUFIP2,STAT3
CABP5,REL
CABP5,IKZF3
CABP4,IKZF3
CABP4,BCL6
FBXO33,YBX1
MBOAT1,NR3C1
SPSB2,NRF1
IL23A,REL
IL23A,RELA
HMGXB4,BCL11A
CDC37,PRDM1
CDC37,ELK3
CDC37,JUN
CDC37,IKZF3
BRWD1,STAT3
BRWD1,NRF1
KIAA0513,FOXK1
LONRF1,PAX5
LONRF1,IKZF3
LONRF1,NR4A1
EIF5,JUN
MORC4,STAT3
ANKRD17,JUN
ANKRD17,FOS
ANKRD17,FOSL2
ANKRD17,CREB1
B3KM38,HIF1A
MEF2C,YWHAZ
MEF2C,EPAS1
MEF2C,HDAC5
MEF2C,HDAC7
MEF2C,HDAC9
MEF2C,PLA2G12A
MEF2C,JUN
MEF2C,COPS5
MEF2C,MAPK14
MEF2C,MEF2A
MEF2C,MAPK7
MEF2C,EP300
VPS25,REL
SKA1,THAP11
CBWD6,ELK1
CBWD5,ELK1
CBWD3,ELK1
CBWD2,ELK1
CBWD1,ELK1
CBWD1,FOS
DDRGK1,JUN
LGALS3BP,RELA
E2F6,E2F4
E2F5,E2F4
E2F4,HDAC1
E2F4,E2F1
E2F4,LIN37
E2F4,ID3
E2F4,AP3S2
E2F4,POLR1D
E2F4,CCDC183
E2F4,PIN1
E2F4,CEBPA
E2F4,RB1
E2F4,DKFZP686L18142
E2F4,BRCA1
E2F4,RBL2
E2F4,PCM1
E2F4,E2F3
E2F4,E2F2
E2F4,LIN9
E2F4,PCGF6
E2F4,KAT5
E2F4,CDK2
E2F4,CDK4
E2F4,UBC
E2F4,LIN54
E2F4,TFDP3
E2F4,TFDP2
E2F4,TFDP1
ABLIM1,SREBF2
PPP1R13L,RELA
EEF2,JUN
PYCR2,RELA
PYCR1,JUN
ZNF331,NR4A1
ZNF331,MAPK6
ZNF331,IPO8
ZNF331,C8ORF33
ZNF331,SURF2
GNG11,FOS
GNG13,PAX5
IFITM1,STAT2
HPCAL1,CREM
REV3L,MEF2A
SEC24C,JUN
SCAF8,JUN
OGDHL,STAT3
SUOX,REL
SUOX,ZNF143
SUOX,RELA
MRPL40,JUN
MRPL46,JUN
TRIP6,ZNF384
TRIP6,RELA
TM4SF19,STAT3
TRIP4,RELA
NGB,REL
TGM2,RELA
TGM2,ATF4
ARFGAP1,FOS
LAMB2,STAT3
MPHOSPH8,ZNF121
MPHOSPH8,ZNF770
RUVBL1,RELA
RUVBL1,JUN
RUVBL1,YY1
RUVBL2,RELA
RUVBL2,HIF1A
RUVBL2,JUN
RUVBL2,YY1
U2AF2,JUN
BMX,STAT3
DHPS,REL
PAPOLG,NFYA
CCDC6,ZNF354C
DYNC2H1,JUN
MTHFD1,JUN
TBP,ZNF76
TBP,FOS
TBP,JUN
TBP,GTF2B
TBP,RELA
TBP,FOXJ2
TBP,AHR
PRR20B,NFYC
PRR20B,POU2F1
PRR20B,VEZF1
PRR20C,VEZF1
PRR20C,NFYC
PRR20C,POU2F1
PRR20D,VEZF1
PRR20D,NFYC
PRR20D,POU2F1
PRR20E,NFYC
PRR20E,POU2F1
PRR20E,VEZF1
NSD3,SOX4
NSD3,ZNF557
NUDCD2,PRDM1
NUDCD3,PRDM1
ADSL,REL
ADSL,JUN
WDHD1,FOXJ2
SMC4,JUN
CFAP161,BCL6
ZNF341,EMD
ZNF341,SARS1
ZNF341,HSPA2
ZNF341,C11ORF68
ZNF341,NCK2
ZNF341,CCT7
ZNF341,CSTF2
ZNF341,ARNT2
ZNF341,GRB2
ZNF341,NTAQ1
ZNF341,PRPF40A
ZNF341,MAGEB4
ZNF341,ERN1
ZNF341,CENPP
ZNF436,CREB1
ZNF438,ZNF143
NUDT10,REL
NUDT16,JUN
RTCB,JUN
RPS3A,JUN
RPS3A,ZNF22
PYHIN1,CTCF
TRMT2A,JUN
DRG1,JUN
SNW1,JUN
SNW1,IKZF1
AURKA,RELA
AURKA,YBX1
AURKA,JUN
AURKA,REL
AURKA,HIF1A
AURKA,SOX4
AURKA,KLF4
AURKB,YBX1
AURKB,JUN
AURKB,ZNF148
AP1B1,JUN
AP1B1,GTF2I
ERLIN2,JUN
BMF,REL
BMF,TCF12
KRTAP2-4,YY1
ZNF354C,LMO1
ZNF354C,LHX3
ZNF354C,TRIM28
ZNF354C,LHX4
AHCY,FOXK1
AHCY,JUN
AHCY,FOS
ACADVL,ELK4
KRT31,ZNF148
KRT34,ZNF148
KIF2A,JUN
ENSA,DNMT1
BRCA1,RELA
BRCA1,YBX1
BRCA1,JUN
BRCA1,FOSL2
BRCA1,JUNB
BRCA1,POU2F1
ACOT8,REL
KIF27,STAT3
RBBP7,FOXK1
RBBP7,JUN
RBBP7,BCL11A
KIF23,YBX1
