Prot_1,Prot_2
PLAUR,NDST2
PLAUR,EMILIN3
PLAUR,ARSA
PLAUR,ARSB
PLAUR,MBTPS1
PLAUR,POMGNT2
PLAUR,ZNF146
PLAUR,CHSY3
PLAUR,HOXD13
PLAUR,KIF23
PLAUR,ARSK
PLAUR,EGFL7
PLAUR,PCYOX1
PLAUR,PFN2
PLAUR,DARS2
PLAUR,PLTP
PLAUR,VTN
PLAUR,SGSH
PLAUR,PI4K2B
PLAUR,ATXN3
PLAUR,PXDN
LRRC25,APOL3
LRRC25,CNIH3
LPGAT1,LYPD6
LPGAT1,CHST15
LPGAT1,TUBA1C
LPGAT1,HSPA8
LPGAT1,ATL3
LPGAT1,VAPA
LPGAT1,MBOAT1
LPGAT1,RNF41
LPGAT1,UBC
LPGAT1,VIRMA
LPGAT1,POTEF
LPGAT1,HSPA1L
TIMM17B,F13A1
PIGQ,TNFSF13B
PIGR,TMEM237
TMEM80,CNIH3
TMEM80,ERMP1
EBP,SLC41A2
EBP,CD40
PTGS2,CAV1
CEP128,CCDC138
CEP128,RPGRIP1L
CEP120,CCDC138
EIF1AX,KCTD17
RSBN1,PRR11
SYDE1,KSR1
DDIT3,FOSL2
RBFA,CACFD1
NKRF,ADARB1
BMP7,ACVR1
BMP2,RGMB
TERF1,TUBB2A
RASSF1,SUV39H2
PTOV1,TMCC2
PTPMT1,CPT2
LAMTOR1,VIM
RSAD2,UBAC1
CHD3,VIM
CHD3,CTTN
TTC5,TUBB2A
MPG,GSTM3
PRDM15,PRR11
PLSCR1,CRY1
POLRMT,KCTD17
LMAN1,PTPRM
KDM1A,CLOCK
KDM1A,RPGRIP1L
CIAO2B,VIM
FAHD1,CPT2
GGA1,BACE1
GGA3,BACE1
GGA2,BACE1
GJC1,APOL3
PRKACA,AKAP5
PRKACA,AKAP1
PRKACA,AVPI1
PRKACB,AVPI1
PRKACB,AKAP5
PRKACB,AKAP1
TALDO1,CAV1
CRY1,MDFI
CRY1,BAG6
CRY1,HSPA5
CRY1,RPS14
CRY1,ARNTL
CRY1,HNRNPU
CRY1,FOXO1
CRY1,RPS3
CRY1,C1QBP
CRY1,XPO1
CRY1,SKP1
CRY1,NEDD1
CRY1,CLOCK
CRY1,TEKT4
CRY1,CRY2
CRY1,AP2M1
CRY1,CSNK1E
CRY1,JAK3
CRY1,PTBP1
CRY1,CUL1
CRY1,CBLB
CRY1,TRAF2
CRY1,LTBP4
CRY1,HNRNPA3
CRY1,KPNB1
CRY1,SLC25A5
CRY1,PRMT5
CRY1,PER2
CRY1,SFPQ
CRY1,TGS1
CRY1,KRTAP4-12
CRY1,NPM1
CRY1,SYNCRIP
CRY1,SNRPD3
CRY1,FBXL3
CRY1,PER1
CRY1,CUL4A
CRY1,UBC
CRY1,BAIAP2
CRY1,KIF20B
CRY1,ILF3
MLH1,CTTN
LTN1,MBOAT1
NACC2,FOXP3
NACC2,EPS8
NACC2,VHL
SH3KBP1,RPGRIP1L
REPIN1,KIFC1
REPIN1,KCTD17
TAP1,MBOAT1
CHTF18,RFC3
DBN1,CAV1
DBN1,BMP2K
DBN1,CTTN
GBF1,PTPRM
GBA2,PCNA
GBA2,BAG5
GBA2,PPFIA1
GBA2,MRPS22
GBA2,SRP68
GBA2,AFG3L2
GBA2,TMEM216
GBA2,MRPL44
GBA2,ILVBL
GBA2,LAMTOR5
SNU13,RPGRIP1L
AKAP5,HSPA2
AKAP5,HSPA8
AKAP5,PRPF4B
AKAP5,SGMS2
AKAP5,DERL1
AKAP5,SLC25A12
AKAP5,TNPO1
AKAP5,TMEM17
AKAP5,CALM1
AKAP5,ROPN1L
AKAP5,SUV39H1
AKAP5,RSBN1L
AKAP5,NCL
AKAP5,LUC7L3
AKAP5,PRKCA
AKAP5,ROPN1
AKAP5,PRKAR1A
AKAP5,CLK1
AKAP5,OTUD6B
AKAP5,MRPL43
AKAP5,H3C1|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H3C10|H3C11|H3C12
AKAP5,PPP3CA
AKAP5,IPO4
GTF2F1,CDK8
AKAP1,PHB2
AKAP1,DOCK3
AKAP1,HP
AKAP1,USP7
AKAP1,APBB2
AKAP1,ZFP41
AKAP1,H1-2
AKAP1,TNNI3
AKAP1,PABPC1
AKAP1,TF
AKAP1,FGG
AKAP1,TSPYL4
AKAP1,LARP4
AKAP1,DYSF
AKAP1,FARP1
AKAP1,CEP43
AKAP1,PRKAR1A
AKAP1,RPL12
AKAP1,PYM1
AKAP1,TMEM67
AKAP1,ESR1
AKAP1,PHB
AKAP1,UBC
AKAP1,CKAP5
AKAP9,SUV39H2
RRP1B,EPB41L2
RRP1B,CTTN
KRR1,KIFC1
KRR1,PRR11
CETN2,APLF
CCL20,CCR6
TRIOBP,VIM
CAMSAP2,KSR1
MAP3K3,VIM
ZNF835,TXK
CUEDC1,UBE2E2
LRIF1,KCTD17
LRIF1,VIM
LRIF1,FOSL2
LRIF1,SUV39H2
IKBKB,ACVR1
MECP2,CTTN
MECP2,EPB41L2
PLAAT2,UBAC1
ATF7IP,SLC12A4
CDK5RAP2,RPGRIP1L
CDK5RAP1,KCTD17
ITCH,UBE2E2
CHMP4B,UBAC1
CHMP4B,CTTN
CHMP4B,VIM
CHMP4B,RFC3
CHMP4B,CAV1
CHMP4B,TSHR
CHMP4B,MPP6
CHMP4B,TXK
CHMP4C,CTTN
COBLL1,SCML1
CDK18,FGR
