Genes,Naive,Early Extra-GC,Late Extra-GC,GC
GTF3A,0.8859126965149833,0.753366040553,0.3594617548459117,0.8625653325179923
KLF16,0.8702873786119025,0.46740959406868887,0.22071144634559725,0.1888362378151483
PURA,0.8625653325179923,0.1732717212740367,0.6802437757240375,0.41197978912935806
SIX5,0.06367309486114218,0.06367309486114218,0.8472978603872038,0.056776515802082
TCF3,0.8174448972375226,0.8472978603872038,0.4367949582490821,0.8101188571454495
ZBTB7A,0.7813398925954061,0.8322599830226632,0.15415067982725836,0.6486954179891115
MAFF,0.5043531092603731,0.5596157879354227,0.8174448972375226,0.5483162326814892
SMAD3,0.2920204740503791,0.30514976549217177,0.706219262127298,0.8174448972375226
E2F6,0.15415067982725836,0.09531017980432477,0.8101188571454495,0.6302333551493761
FOXO3,0.80284609781637,0.6802437757240375,0.5710444837590454,0.7956258498428826
MBD2,0.4367949582490821,0.7956258498428826,0.3829922522561059,0.46224162391024626
MEF2A,0.36880761726414935,0.31399938076915423,0.20863886511132806,0.7884573603642703
HINFP,0.1694181519580468,0.7884573603642703,0.3364722366212129,0.1655793756508811
GATA3,0.24946085963158313,0.6611955807533428,0.7813398925954061,0.6866746660543278
HIVEP2,0.4519851237430572,0.1888362378151483,0.7602864833975739,0.5151640253645888
ZIC1,0.09174511363982858,0.7602864833975739,0.036367644170874715,0.033006296468169966
FOXK1,0.5596157879354227,0.746493161265238,0.18492233849401193,0.4367949582490821
BPTF,0.5097439578952496,0.37351350830156205,0.7328875092094594,0.08112554481236846
KLF15,0.706219262127298,0.7261534770281153,0.5884362264709145,0.5097439578952496
FOXN3,0.7261534770281153,0.3410280531570737,0.37824164949750805,0.4468960542355859
POU2F1,0.1888362378151483,0.4418327522790392,0.7261534770281153,0.4726044109457929
CEBPZ,0.7194644888773187,0.6241543090729939,0.29637777941933474,0.4519851237430572
KLF1,0.7128199461586501,0.699661861581139,0.6061358035703156,0.48835276791393206
ATF7,0.699661861581139,0.4519851237430572,0.36880761726414935,0.5043531092603731
MTF1,0.6061358035703156,0.6866746660543278,0.46224162391024626,0.5768081884757955
ETV2,0.08112554481236846,0.3925617032722565,0.09888800115220867,0.6675047499466076
NFAT5,0.6181119946170311,0.36880761726414935,0.6181119946170311,0.6611955807533428
TFAP2A,0.37824164949750805,0.6549259677397476,0.279061329407874,0.36880761726414935
TP53,0.4317824164255378,0.13538840337173538,0.6549259677397476,0.3641237679517231
ZFP14,0.6486954179891115,0.4468960542355859,0.41197978912935806,0.3925617032722565
PATZ1,0.600201068050501,0.10247866928293738,0.6302333551493761,0.5427139771328193
ZBTB37,0.4726044109457929,0.6302333551493761,0.4468960542355859,0.2536362310420638
TFDP2,0.6241543090729939,0.39738098970820546,0.5206136301321536,0.5206136301321536
GTF2B,0.279061329407874,0.6181119946170311,0.18102369807835472,0.3229280115134557
EGR4,0.1316778239751997,0.5826053061601215,0.12798096209387352,0.10247866928293738
SALL2,0.4218320855723696,0.1096989172564245,0.1316778239751997,0.5826053061601215
WT1,0.5826053061601215,0.41197978912935806,0.4989911661189879,0.4571002244098277
PAX6,0.5768081884757955,0.4168938039317872,0.5427139771328193,0.04312442663375468
PRDM9,0.2876820724517809,0.5768081884757955,0.2705142688294155,0.22476824704121168
TFAP2C,0.29637777941933474,0.5710444837590454,0.2536362310420638,0.3184537311185346
E2F1,0.17714019805195705,0.12062798778861475,0.5596157879354227,0.11332868530700313
PBX2,0.5539500503997453,0.5427139771328193,0.22476824704121168,0.17714019805195705
RBAK,0.5483162326814892,0.1466034741918754,0.15036995698735228,0.01967276559870478
TCF4,0.5316027517077487,0.5151640253645888,0.4519851237430572,0.09888800115220867
KLF5,0.5206136301321536,0.3229280115134557,0.3095647837012886,0.3456047201844855
E2F3,0.3641237679517231,0.3548213752894095,0.3229280115134557,0.4989911661189879
ZSCAN10,0.15036995698735228,0.49365782014362525,0.08465288533033691,0.06713930283762856
TFAP4,0.4267948749144987,0.006514681021193642,0.04652001563489281,0.48307571081308825
KLF14,0.47782635492694464,0.2006706954621511,0.4168938039317872,0.32742240110129506
CTCFL,0.22476824704121168,0.0032520353863772318,0.47782635492694464,0.20863886511132806
ARNT,0.22884157242884753,0.22071144634559725,0.46740959406868887,0.19671029424605427
XPA,0.46224162391024626,0.20464684384179055,0.1888362378151483,0.26203964183844336
