Prot_1,Prot_2
PIGK,GPAA1
PIGU,B3GNT3
TMEM80,CNIH3
TMEM80,ERMP1
TAX1BP1,UBA52
TAX1BP1,LDLRAD4
ELAC2,CUX1
EBP,ANKRD46
EBP,NINJ1
PLVAP,FUT8
CEP128,NFATC3
CEP128,FERMT2
CEP128,PAWR
CEP128,TJP2
CEP128,NDE1
SLC39A10,SPINT2
SLC39A10,CENPO
SLC39A10,TMEM17
SLC39A10,RNASEH2B
SLC39A10,KIF7
SLC39A10,DCLRE1B
SLC39A10,KIF18A
SLC39A10,TMEFF1
SLC39A10,TCTN3
SLC39A10,TMEM216
SLC39A10,UBC
SLC39A10,XRCC1
SLC39A10,WBP1
SLC39A10,TCF20
SLC39A10,MYC
SLC39A11,CD274
SCN2B,COG3
SCN2B,TTI1
SCN2B,THADA
SCN2B,EXOC2
SCN2B,EXOC7
EIF1AD,STAT1
SAP18,SUFU
RBFA,MDK
MTURN,UBA52
TERF1,PNMT
TERF1,ZFP36L1
RASSF8,NLN
RASSF1,FXN
RASSF2,PRMT3
NFS1,LYRM4
NFS1,FXN
NFS1,CDNF
CHD3,MTA3
CHD3,ARID4B
CHD3,MBD2
CHD5,ARID4B
CHD5,MTA3
CHD5,MBD2
CHD4,MTA3
CHD4,MBD2
ESRRG,NCOA1
DDX5,DAPK1
TTC1,NDE1
TTC3,KIF18A
TTC8,BBS7
TTC8,LZTFL1
DYNC1LI2,DYNC1I2
DYNC1LI2,DYNLT1
MPG,PAFAH1B2
PLSCR4,UBA52
PLSCR1,RBL1
HNF4G,NCOA1
HNF4A,NCOA1
POLRMT,PRKCZ
KDM1A,MTA3
KDM1A,SAMD3
KDM1A,PPARD
KDM1A,SPSB1
KDM1A,EXOC7
KDM1B,DYNC1I2
LOC51064,STAT1
ZFP36L1,ACD
ZFP36L1,TINF2
ZFP36L1,POT1
ZFP36L1,MAPK14
ZFP36L1,AKT2
ZFP36L1,MAPKAPK2
ZFP36L1,PAFAH1B2
GGA2,CA8
PKD1,PRKCZ
PRKACA,PRKCZ
PRKACB,PRKCZ
PSMB1,LZTFL1
TMEM160,CD274
FOXN1,CUX1
F5GZT1,EXOC7
GRIN2C,NBL1
GNA13,CCR1
CLDN19,CD200R1
IL6ST,LIF
DBN1,RRAS2
CDC73,TOMM20
SRFBP1,LCOR
TAS2R10,PDCD1LG2
NEUROG3,TCF12
AKAP5,RSBN1L
AKAP9,SAMD3
CCDC115,PRKCZ
NFU1,MDK
KRR1,USP33
DIO2,USP33
VSX2,USP33
CUX1,RECQL5
CUX1,NFATC1
CUX1,PTH1R
CUX1,FOXP1
CUX1,FOXK2
CUX1,FOXG1
CUX1,SUMO2
CUX1,FOXE1
CUX1,CNBP
CUX1,FOXO1
CUX1,CIT
CUX1,SOX2
CUX1,BIN1
CUX1,RBPJ
CUX1,JUN
CUX1,WDR83
CUX1,VIRMA
CUX1,FOXJ2
CUX1,SPATS2L
CUX1,CA12
CUX1,FOXD3
CUX1,SLC39A4
CUX1,MAGEA10
CUX1,MAX
CUX1,TACC3
CUX1,STX6
CUX1,UBC
CUX1,GABRE
CUX1,HLA-DQA1
CUX1,H4C1|H4C2|H4C3|H4C4|H4C5|H4C6|H4C8|H4C9|H4C11|H4C12|H4C13|H4C14|H4C15|H4-16
MAP3K3,UBA52
SLC18A1,ANKRD46
PPP1R8,GBP2
PPP1R8,GBP7
ZNF837,PPARD
CUEDC1,NFKBIA
CUEDC1,UBE2D2
CUEDC1,NTAQ1
CUEDC1,FAM189A2
CUEDC1,SMURF2
CUEDC1,SRPRB
CUEDC1,LRRK2
CUEDC1,NEDD4
CUEDC1,B7Z2P9
CUEDC1,TMEM51
CUEDC1,TMEM92
CUEDC1,UBE2E2
CUEDC1,OSTF1
CUEDC1,DUSP19
CUEDC1,ARRDC1
CUEDC1,SMARCD1
CUEDC1,NCK2
CUEDC1,ESR1
CUEDC1,ABI2
CUEDC1,NEDD4L
CUEDC1,UBC
CUEDC1,LDLRAD4
IKBKB,FOXO3
PLAAT2,NCALD
BEGAIN,RBL1
IL2RB,IL2
IL2RG,IL2
CMTR1,LDLRAD4
ITCH,LDLRAD4
CHMP4B,POLI
CHMP4B,KIF18A
CHMP4B,SPTB
CHMP4B,TJP2
CHMP4B,MYL12B
CHMP4B,MAPKAPK2
CHMP4B,STAMBP
CHMP4C,SPTB
CHMP4C,MYL12B
CHMP4C,SAMHD1
