,Genes,LogChange,LogChange_Thresh
7972,PML,0.7401272638944889,0.7401272638944889
7973,CYP1A1,0.0,0.0
7974,ADAMTS17,-17.02187328708662,-2.0
7975,LINS1,-0.4093334015103458,-0.4093334015103458
7976,ULK3,0.22754558644210499,0.22754558644210499
7977,GOLGA6D,0.0,0.0
7978,PCSK6,0.2706487793791125,0.2706487793791125
7979,CCDC33,0.0,0.0
7980,CELF6,-0.6842998969270209,-0.6842998969270209
7981,SCAMP2,-0.4165619822999714,-0.4165619822999714
7982,CYP1A2,-18.12446362959812,-2.0
7983,LMAN1L,-20.212345240941374,-2.0
7984,HAPLN3,-0.14932863742676403,-0.14932863742676403
7985,RHCG,0.0,0.0
7986,POLG,1.3369974576198007,1.3369974576198007
7987,RLBP1,0.0,0.0
7988,FANCI,-0.23949947610449743,-0.23949947610449743
7989,ABHD2,-0.30081206566126106,-0.30081206566126106
7990,WDR93,-17.095873326466872,-2.0
7991,TICRR,-20.649663505872976,-2.0
7992,NTRK3,1.520614138033333,1.520614138033333
7993,DET1,0.45633772256885363,0.45633772256885363
7994,MFGE8,1.1883870684537658,1.1883870684537658
7995,ZNF710,0.8109971945689125,0.8109971945689125
7996,UNC45A,-0.2790154267752436,-0.2790154267752436
7997,ST8SIA2,0.0,0.0
7998,MCTP2,-22.94461881966066,-2.0
7999,FURIN,-0.2280249669691845,-0.2280249669691845
8000,IQGAP1,-0.7064784576864829,-0.7064784576864829
8001,CRTC3,-1.350470777120717,-1.350470777120717
8002,EFTUD1,-0.45422839667433745,-0.45422839667433745
8003,SH3GL3,0.0,0.0
8004,SEC11A,1.4566176549667689,1.4566176549667689
8005,SEPT12,0.0,0.0
8006,GLYR1,0.16368948195931912,0.16368948195931912
8007,PMM2,2.8892632367375093,2.0
8008,SLC5A2,-17.152508245678966,-2.0
8009,ITGAX,-7.1939647378274465,-2.0
8010,TGFB1I1,-4.2307497204000715,-2.0
8011,C16orf58,1.9684217955899161,1.9684217955899161
8012,ARMC5,-3.5826328873258,-2.0
8013,PARN,-1.013953196022863,-1.013953196022863
8014,FTO,-1.3493137225222873,-1.3493137225222873
8015,UQCRC2,0.5380560164434196,0.5380560164434196
8016,CDR2,-1.3082257808429332,-1.3082257808429332
8017,IGSF6,1.2374721719372748,1.2374721719372748
8018,ARHGAP17,-1.2660072291425961,-1.2660072291425961
8019,MYLK3,-2.4795000384381902,-2.0
8020,ABCC12,0.0,0.0
8021,NKD1,1.1454268515231407,1.1454268515231407
8022,DHX38,-2.189610440646864,-2.0
8023,TXNL4B,0.9929907351435888,0.9929907351435888
8024,MARVELD3,19.752393686401263,2.0
8025,CHST4,0.0,0.0
8026,ZFHX3,-2.6938882817845164,-2.0
8027,CLEC18B,0.0,0.0
8028,CPNE2,1.438594025703789,1.438594025703789
8029,NLRC5,-0.4317074641687132,-0.4317074641687132
8030,KATNB1,1.1283596893165238,1.1283596893165238
8031,KIFC3,0.0,0.0
