Genes,Naive,Early_Extra_GC_Tfh,Late_Extra_GC_Tfh,GC Tfh
CAV2,0.2870553107314775,0.12325887295112625,1e-06,1e-06
CAV1,0.8404834637382,1.2870783696410624,1.5969338192283866,7.738935799757628
MET,1e-06,0.18866365690086426,0.4243841804313065,1e-06
RNF32,1e-06,1e-06,1e-06,1e-06
LMBR1,4.886863496397127,7.226118914608915,84.1530083556172,21.811464212441706
NHP2P1,1e-06,1e-06,1e-06,1e-06
WNT2,1e-06,1e-06,1e-06,1e-06
HOXA1,1e-06,1e-06,0.140078238994054,1e-06
DNAJB6,45.24287164765948,74.1578031787373,26.068051478751716,31.460523817280126
HOXA2,0.23486368053187526,1e-06,1e-06,1e-06
HOXA3,0.14424939735250175,1e-06,1e-06,1e-06
LFNG,4.749829800855412,0.44815391574534175,1e-06,1e-06
HOXA5,0.11743234026593775,1e-06,1e-06,1e-06
HOXA6,0.14424939735250175,1e-06,1e-06,1e-06
BRAT1,21.55805375267195,20.88921185644285,30.348913659646552,23.55512305894066
IQCE,0.5269787486563875,1.4581452323607473,7.297241686625883,0.10896484371047975
ANKRD7,1e-06,1e-06,1e-06,1e-06
VIPR2,2.002303860320077,1e-06,0.6134990983215151,1.0999855327780124
TSPAN12,0.2634898743281925,1.02966289571285,0.8404644339643226,0.8717117496838376
SSBP1,38.06660025481055,46.80017575455502,27.093850914166442,33.542640918034095
HOXA13,1e-06,1e-06,1e-06,1e-06
CPED1,1.67579024072731,0.9144941331995683,1.2755911054209723,0.40413680769017446
EVX1,0.86549138411501,1e-06,1e-06,1e-06
HIBADH,15.524746803988274,5.488908054119952,6.16112994562787,7.870130372154983
TAX1BP1,47.22946979112328,50.88050493411125,25.3612068222296,33.983770045829324
CPVL,0.7904676229845801,10.485223625296538,1e-06,1e-06
CHN2,1e-06,0.7797692278276526,2.3309699283749326,1e-06
GRB10,1e-06,1.4271974236446199,1.260696150946485,0.4852853655818325
ABHD11,2.5593170453696783,3.264248085762557,3.0626290705934625,2.80837749457542
COBL,1e-06,1e-06,1e-06,1e-06
FKBP14,1.068420929680818,1.0822136122248578,0.7930221106860775,0.57770651081576
PLEKHA8,1e-06,0.7148966631165325,1e-06,0.7854406868420425
STX1A,0.5269787486563875,1e-06,0.28015547798810747,1.5805446022688299
NOD1,0.16891504208796151,0.2574164739282125,1.3083224122044623,0.45854915571060245
GARS,39.33568046997465,31.731923138382275,30.536275551168497,46.92380454194648
CRHR2,1e-06,1e-06,1e-06,1e-06
EPHB6,13.442545316221523,7.502347412515525,24.908100571396172,11.582555860103513
FAM188B,1.1743144026593775,0.12974612942223826,0.28015547798810747,1e-06
GHRHR,1e-06,1e-06,1e-06,1e-06
NSUN5P2,0.99030899036791,1.1220280386278405,1.2703790659643375,0.989392700891155
CASP2,23.4166577220482,31.210159235933578,48.04676259947149,67.07442244177017
CHCHD2,145.91422392195227,134.9073268186385,57.35259766320972,88.23300854494772
CCL24,1e-06,1e-06,1e-06,1e-06
HSPB1,16.783802172530873,15.548722995991524,29.61846714224804,14.513338041122074
NPTX2,1e-06,1e-06,1e-06,1e-06
PDAP1,9.934014625312367,8.807449049128572,2.387997517557628,8.555960393092407
BUD31,30.906453070522577,44.44329823441302,20.320401450249463,22.506056097412074
PTCD1,4.4694098671956795,1.2770435771221276,2.50673258523918,2.1671798538205778
CYP3A5,0.8972294211279075,3.510081711285653,8.309038597708327,3.4440304068654326
ZKSCAN1,14.243355135803347,21.620283867244073,13.432347271573002,10.648567322637652
EIF3B,5.139683189329662,12.449762472872049,2.7613066674125184,5.90383991245777
SNX8,14.04427008545164,7.210432986289338,4.604744050452737,5.924949480825084
NUDT1,7.450838507331844,9.110824343211592,5.074161947851718,7.662308125594382
PTPRZ1,1e-06,1e-06,0.144229702443199,0.45854915571060245
TAF6,7.024799226522142,6.173487076302918,2.543824578010488,9.801156130329945
WASL,5.871281520984227,2.9805006723549727,2.6895101360339226,9.897995528954477
HYAL4,1e-06,0.119104411975263,1e-06,1e-06
SPAM1,1e-06,1e-06,1e-06,1e-06
AIMP2,7.3320030933681055,4.0086775787596745,3.51317473520583,4.301138375414565
TFR2,1e-06,1e-06,0.3628010489946,1e-06
FSCN3,1e-06,0.616927888065825,1e-06,1e-06
MOSPD3,2.179444679977215,3.3924120992293325,3.9759773120168025,2.23837151490453
PAX4,1e-06,1e-06,1e-06,1e-06
PCOLCE,1e-06,1e-06,1e-06,1e-06
FBXO24,0.23187120940881,2.334115878306065,1e-06,1e-06
PPP1R17,1e-06,1e-06,1e-06,1e-06
RBM28,5.99842178469691,3.2074163150809176,10.110084097876415,3.755045700152773
USP42,16.264023805368144,14.386776026903949,20.93867822597285,22.53806471055593
IMPDH1,4.148890094802593,11.03488352725315,2.342123812798285,9.873048435260278
AGFG2,1e-06,2.4135749780193927,8.417859598578314,6.967005508405027
LSM5,23.225492127144076,13.236161439848003,12.001996037539525,9.589520034472324
SERPINE1,1.0539564973127724,1e-06,1e-06,1e-06
AP1S1,0.2634898743281925,0.4779783479564775,0.7172121520584075,2.6571549084599724
MOGAT3,0.17904988461323926,0.7789738518527808,1e-06,0.663403106663345
C1GALT1,20.353286136743545,19.966442277963278,12.092545757448725,16.273180726960742
PLOD3,7.995032424343948,9.309287514544062,23.23084538347744,23.824969949571678
RPA3,15.478072933150846,16.15383205342138,12.182489463846355,10.862045195259652
ZNHIT1,22.890640810148877,21.49956624812555,19.023473896086838,21.497543064484322
CLDN15,0.8445712104398075,1.6866876824890975,1.6025421382577674,0.45854915571060245
NOBOX,1e-06,1e-06,1e-06,1e-06
GLCCI1,2.7820647057150993,9.898231399947406,25.016885765869926,7.367997763070453
MYL10,1e-06,1e-06,1e-06,1e-06
PHF14,3.3811690895589916,2.305820300179462,1.9947322600930324,2.8009422414170504
NRF1,4.286536768623175,10.43052521788465,2.6255490566002475,7.256791598720892
TMEM106B,81.41751860662885,56.557316855075825,36.9394903524087,46.43625962991385
EZH2,6.0980664666158875,2.961316342632588,10.627845815157832,7.96876461585098
CEP41,6.948526403410915,2.0263408986725704,5.7557826458055175,2.774946433763768
ZNF862,2.3106940017762327,6.697256754171361,1e-06,14.30751154788508
SFRP4,1e-06,1e-06,1e-06,1e-06
MEST,9.166930339994913,1.4069882095145776,1.9251628616299774,2.005614588206458
MEOX2,1e-06,1e-06,1e-06,1e-06
ANKMY2,4.0584193166199976,0.7722474217846376,5.07881060621568,0.7627479059733575
ACTR3C,1.8278845086885944,4.375828102063613,2.6082370057643476,8.040599532265304
POU6F2,1e-06,0.1819674536670425,0.5924220914012831,1e-06
TSPAN13,25.355111888179863,1.9729761802171726,0.28015547798810747,1.0181976135401174
RARRES2,0.5269787486563875,1e-06,1e-06,0.5675129994210822
AC004837.3,1e-06,1e-06,1e-06,1e-06
AGR2,1e-06,1e-06,1e-06,1e-06
AHR,8.12018292416925,29.072468494718528,105.25841420420677,64.79762469804383
CHCHD3,24.8485345911713,29.1184366754483,15.471202334418065,16.323402997156006
GIMAP2,64.23205741495114,74.75506581408911,39.876802056439566,21.476482384637933
TMEM176B,1.0539564973127724,1.662867533559125,1e-06,0.32689253113143996
GLI3,1e-06,1e-06,7.289087316691275,1e-06
PSMA2,59.14277951774865,54.98784661999557,45.89787483831897,40.96036222602792
MRPL32,15.927205708208648,9.264071057998839,4.789687841681825,10.93708297225928
COA1,14.062760270898874,35.995695566501595,9.941255309675762,18.281822583766125
BLVRA,2.9447761849442378,7.7620233242319925,5.79041343924469,4.801390818931138
URGCP,10.052419423473594,5.387451207025182,5.324301231334665,2.2979063678751004
TMEM248,9.907028968441372,9.135659617533072,15.63948632976137,11.368328555112297
STAG3L4,3.6950772425912777,4.891804588891152,1.6450083836418699,1.454052988382035
RHEB,13.958084901545522,28.663318989988948,12.078153750942121,9.766346023539654
PRKAG2,4.820029727621642,9.51165309127152,9.646324262936544,0.8717117496838376
AEBP1,2.0600770053607804,1e-06,1e-06,1e-06
POLD2,27.089565482354228,18.517732416299246,17.78533829297184,21.33382536806315
MYL7,1e-06,1e-06,1e-06,1e-06
GCK,0.5269787486563875,1e-06,1e-06,1e-06
BCL7B,13.3122294356191,6.81171564715597,5.177381260491048,4.584584291829725
YKT6,5.826179863827737,2.9085289600890363,28.461083504395226,6.971460096186381
TBL2,8.41674277490132,8.485485337834355,4.202318169821625,6.863733761935487
GALNTL5,1e-06,1e-06,1e-06,1e-06
CLIP2,1e-06,0.18866365690086426,4.902704364791875,1e-06
EIF4H,86.27290898413602,109.0015783408915,57.14072830134805,74.1070629850391
LIMK1,2.4726640804103304,7.830771355664149,0.7475020987183265,6.126593642219905
SPATA6L,0.9780854657189052,1e-06,2.0963528185636826,1.4784891678992071
SLC1A1,1.1743144026593775,1e-06,0.70038719497027,1e-06
LHX2,1e-06,1e-06,1e-06,1e-06
FKTN,3.4442304802031507,1e-06,1e-06,0.2179286874209595
FSD1L,1e-06,0.44112474805652996,0.70038719497027,1e-06
CNTNAP3,0.31793761258591524,1e-06,1e-06,0.0650291049879655
SPIN1,22.006072257499255,17.28590613040245,33.584756756149616,26.245989295131007
NMRK1,23.76542304616836,81.01606961267221,29.37674917903675,17.692385493419184
TMEM245,11.605802365896427,7.1007117746466255,15.935202839607667,10.40619599181852
PRUNE2,1e-06,1e-06,1e-06,1e-06
MEGF9,1.1142322679491468,2.8439723414624103,1.1918430506897988,0.1100544821475845
TRIM14,22.54855419786765,37.5201330781417,68.0426072222993,31.680560824621647
CORO2A,6.0427882067688925,10.8730948082961,9.910986759430429,5.18979554065312
TGFBR1,11.052664893138452,8.891424190046084,3.3259352515705176,7.119072540913627
SEC61B,29.61584354958163,24.47148915759198,13.530340337567724,17.05861125773999
C5,1e-06,1e-06,2.5191217317824703,0.45854915571060245
OGN,1e-06,1e-06,1e-06,1e-06
ASPN,1e-06,1e-06,1e-06,1e-06
ECM2,1e-06,1e-06,1e-06,1e-06
TLE4,2.523348129371215,6.53149919611816,5.642418437315189,1.0777324665106838
LHX6,1e-06,1e-06,1e-06,1e-06
PTGR1,1e-06,0.6201802956435275,0.2515844277559762,0.10896484371047975
SUSD1,4.548998816027317,1.6979649121077773,3.2900157672837502,0.10896484371047975
AMBP,1e-06,1e-06,1e-06,1e-06
AKNA,52.34927026309242,50.69524896373115,202.85120841272033,234.28280853972043
TNFSF8,30.246999667915976,41.92440073859035,16.530315116847202,36.944923120815524
DNM1,1e-06,1e-06,0.736295919598802,1e-06
ENG,3.664209034996995,3.637378863659962,3.2900157672837502,10.32396209468727
AK1,0.537518303629515,0.611090867599662,1e-06,0.19411474623273275
CDC37L1,21.572652197010523,13.386081364804674,7.93419022487753,4.480785458811611
RLN2,1e-06,0.220562874028265,1e-06,0.4852853655818325
RLN1,0.16891504208796151,0.220562874028265,1e-06,0.09705787311636625
PLGRKT,17.387111185520602,18.754259724811323,3.885284546881305,10.32890920951756
TBC1D13,11.659409261771831,5.919157586920325,5.14146177620427,8.52818891452643
RIC1,7.148633519675429,7.587198574719641,98.71118126645676,24.465949461445266
KDM4C,11.665653337545205,26.241475606592914,23.642531519535847,13.744567952112325
DOCK8,50.81682007933437,67.6661336709385,231.7282307395758,70.63756278206692
KANK1,3.339471059718536,0.9721963864232993,1.785085622635924,0.10896484371047975
ELAVL2,1e-06,1e-06,1e-06,1e-06
NCS1,1e-06,1e-06,1e-06,1e-06
TESK1,1.683795674593995,5.737659718378334,5.750134948955503,0.29093446270698
KCNT1,1e-06,1.131976941405185,1e-06,1e-06
CA9,1e-06,1e-06,1e-06,1e-06
FUBP3,1e-06,3.455563647338063,2.905703534588355,2.05908700794892
TYRP1,1e-06,1e-06,1e-06,1e-06
CREB3,11.356242194654005,10.479348683467675,8.36323827306752,11.717707895092781
RGP1,2.0314659912538957,1.8122832420788075,12.601657958612526,29.251368883614116
MPDZ,1e-06,1e-06,1e-06,1e-06
LHX3,1e-06,1e-06,1e-06,1e-06
DDX58,7.634560761683043,10.748446754832708,6.391878731159933,3.15546740495546
EDF1,73.3359106875963,52.119493654911324,29.67444411898614,35.4715118365545
PIP5K1B,1e-06,1e-06,1e-06,0.32689253113143996
GLIS3,0.11743234026593775,1.02938303302714,1e-06,2.4976409136900326
BAG1,3.6177952481180977,2.7242222597100376,1.3078110546945425,2.43540752982027
RAPGEF1,5.378535858060123,8.070290942219694,31.55399940032317,14.48369456055231
NPDC1,0.5269787486563875,20.377649079428,15.47599493538691,26.403950915668094
APBA1,0.2634898743281925,1e-06,1e-06,1e-06
SETX,28.93936175524745,35.71572378696803,73.601922238061,48.85054355753978
SH3GL2,1e-06,1e-06,1e-06,1e-06
PTGDS,25.849099456028608,1e-06,1e-06,0.10896484371047975
ABCA2,10.386631322971933,11.026803136356113,30.547145365603154,24.877772156496277
SHB,1e-06,1e-06,1e-06,1e-06
UBE2R2,3.6027810203429005,5.723014288072715,1.6865361869580258,6.274315896963112
ABHD17B,6.712262460088892,12.005916697231699,5.7647110585557,16.6061223238629
EXOSC3,10.334800286592234,7.3534566542501425,10.546297786960423,8.505719871441551
ZFAND5,92.92375364520188,95.80393641503196,143.05820255859982,205.89934444403258
DVL1,0.3522950207978125,1e-06,6.681663456967,1e-06
PDLIM1,5.798321291845045,4.2896943552322595,2.297320014198655,4.703654419141133
CCNJ,2.121544337295768,0.18866365690086426,0.140078238994054,0.45854915571060245
DNTT,1e-06,1e-06,1e-06,0.676476843131562
GATA3,3.1018085798496227,9.662648437400186,22.54969555885125,11.706572680874933
ATRNL1,1e-06,1e-06,1e-06,1e-06
HPS1,20.803245107518666,28.25282799954595,67.73390665496648,52.52859387454982
PHYH,6.086111627045546,1.3602258440695374,2.3309699283749326,1.4064251060055823
RASSF4,1e-06,0.33084381104239746,1e-06,1e-06
DNMBP,0.23486368053187526,1.1677071648001425,2.241236823904863,3.53672962110564
RAB11FIP2,1.7136432717804368,1.648882674177875,0.4258410360115407,0.7854406868420425
CXCL12,1e-06,1e-06,1e-06,1e-06
ERLIN1,0.7618414291882628,4.28664314580375,3.3687305271367904,7.142881061550433
EIF3A,37.48060664053432,54.60072289203932,41.00425041294904,43.99523095052774
PKD2L1,1e-06,1e-06,1e-06,1e-06
CUBN,2.702625673407375,1.32063959830605,1e-06,0.09705787311636625
TRDMT1,13.053454288763861,6.246407832911365,6.580030534567475,13.841152254713295
DDX50,12.521168862798666,13.358244556735142,6.767893760012545,6.577834699181953
MAPK8,5.245866149529754,7.231992792672353,5.372074595526284,8.582783337328992
SEC23IP,12.322310871708563,9.336099438205954,13.851041739609094,10.752857613765373
ATE1,7.175475142877219,8.875438021744952,12.427365200223432,17.768798585861376
NSMCE4A,9.40853818586189,16.70564915534926,10.36357785218992,6.166473213572183
PLEKHA1,6.713055010595288,6.090956686643022,9.960535400028107,3.37658742597342
PALD1,5.852571200882228,1e-06,19.94335544850145,1e-06
UNC5B,1e-06,1e-06,1e-06,1e-06
CDH23,1.6458854966267675,3.1981481734098502,1e-06,1e-06
C10orf54,107.66691839208372,88.91979180981753,67.39461491826921,108.19443206606958
SPOCK2,113.68197873539665,183.59309536544225,314.8113008342155,249.43374424372524
MICU1,3.2495820205494956,3.291690093618788,10.214484636971681,2.2688338608118674
PPP3CB,4.431506313452254,6.863317095221038,1.1206189119524324,1.5868307732807423
CCSER2,12.543594529961174,43.8964031932441,14.684842762706511,25.821081814498477
