"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56","Z57","Z58","Z59","Z60","Z61","Z62","Z63","Z64","Z65","Z66","Z67","Z68","Z69","Z70","Z71"
"SEACell-13-Tfh",1.86387597016847,1.77236244681702,1.1536266395899,0.945055525455807,0.688507195360466,0.969025943332666,-0.550948364383089,0.288900379839314,-2.34716014587711,-1.58518935049884,-0.953787410334746,-0.153410085709844,-3.23202850383232,-0.654201034921152,0.528621349935237,-0.134245665643803,-0.0143342135712377,1.03931437371764,-2.49739426316779,0.712356558303748,-0.57269716286846,0.69632374857771,0.563258234435852,1.64570759143654,-0.656687729215004,0.328860143579008,-0.986772405104141,-0.530641345505471,-0.493012430618499,0.472221393840618,-0.0025485396806538,0.964663008155306,-1.92683830406894,-0.351770507451321,-0.481696631899812,-0.0935475835234359,-0.361760519064857,0.52959567778179,-0.715876455088617,1.03007602002969,0.816531234128854,-0.354301964423827,0.239923713720863,0.600430496477995,0.543131657619611,0.758270614691466,0.209823785021665,-0.633713797593902,-0.528059274618349,0.596289055579697,-0.890662278193941,1.10622546243082,0.0416723767801606,-2.00558742907558,1.65613796689439,-0.386519420273903,0.130653260688984,-0.330869705294903,0.117652774283032,-0.66473193642301,-0.138499462421204,-0.0787243642536833,1.89651215927122,-1.20256907691236,-0.620329294082237,0.683870915004271,-1.80129367124574,0.173140794684808,-0.440564475311108,-0.738465143339243,1.19127368179821
"SEACell-13-Tfh2",1.57218751824641,-0.179999911409346,0.730571269859459,2.90369900902249,0.670774233026402,0.310295517786816,-1.08072891951322,0.226335351770956,-1.84308440104242,-2.67306087693401,-0.819002265681528,-0.281811768856188,-0.200024764902499,-1.3056383841179,1.55075527293081,0.555771272258535,-0.227998276466128,1.90122764747179,-0.854521239361365,0.551079963421557,-0.59224774530121,-0.517837987927819,-0.202164005813688,1.50122455494144,-0.304153945338685,0.816695223570736,-0.615775253139313,-0.530744698911683,-2.67189719209052,0.922164599174026,-0.471230623933908,1.03509474815245,-1.07908853061979,-0.423187330182089,-0.127815685009589,0.0269969743898928,-1.11255827383582,0.697344309366754,1.49074114733136,-0.266880005501216,0.578748065480269,-0.614964831758213,0.768612365924871,-0.428744755041004,-0.521172251098224,0.632644897752308,0.155595852622887,-0.517322118254363,0.35589917707742,0.7970153664281,-0.852926602936902,1.08046533943654,-0.142413429683552,-0.808398669681545,-0.489242205974524,-0.960743038383123,0.262793632508044,-1.56995177480727,-0.424435841574356,-0.659895047897418,0.100104929563206,-0.0923851161052277,0.118867914987322,-0.796051779238318,-0.133043413565952,-0.304286584708254,-0.69087632261706,0.401547987054434,-0.644488063027416,-0.63129698620564,0.242929462194859
"SEACell-14-Tfh",1.74752435350968,2.43892296815323,0.832460891320632,3.8438844390109,0.682628961200654,0.171045199481578,-0.809300517536521,0.156507773045148,-4.34533545995876,-1.76690594210961,-0.220276498862431,0.355675049246249,-5.22950804512319,-0.638562086393866,0.0718180368257782,0.150191296417144,0.133958571174864,1.21183933804267,-3.33966926046581,0.604972940101317,5.02090257450563,1.00974901633823,0.74297362859851,0.82841974299677,-0.967952901346981,0.956326869860408,-0.626398952971523,-1.13742131516129,-1.75663978465371,3.27199995693209,-0.605975417427482,1.34030614491504,-2.33078379011328,-0.929658990416634,-0.117654287579314,0.262646981485918,0.179753222735424,0.642839392734509,-0.512936658665942,2.25418355335791,1.08465848558339,-0.709505676630606,0.459862065305664,2.09974367797676,-2.01262627196511,0.36344669444402,0.89408749628244,0.271405130167522,0.408922970593783,0.427892477513074,-0.823441783903733,1.92467321610778,0.161326351211524,-2.72880547613574,1.75086390970591,-1.16731283632525,0.41385482975832,-2.69852861845225,-0.869206508695408,0.607709669392197,-0.385238820531375,-0.0585849299961132,4.49161600396683,-1.3167184217652,-0.888762748987893,0.5491826006005,-1.83611032500523,0.841117126443697,-0.110466325987082,-1.42208285474211,1.55421758554637
"SEACell-14-Tfh2",-1.51597219373861,2.94507866885922,0.950343386846546,-0.254819094713535,0.577871371409221,0.486068461353984,-0.999476517219317,1.48390574156741,0.574408164527373,-1.81075355048036,-0.601334306749787,-0.968643103090035,1.39377867083925,1.99154458229428,-0.573380587443188,3.23857980954405,0.860821923044168,0.59989206812912,2.51092386568087,1.43035338941958,-0.2644730027806,-0.140678238822783,0.756758294589322,0.602171206707831,1.13590181559361,3.16556630651387,-0.312363399230821,0.486419428784507,-1.36109223791674,-0.229101355403425,2.20944637412714,-1.7625460053253,0.0038135426466484,-0.908732030499418,-0.990923098337723,-2.38506935871611,1.18094084197116,2.13951670174976,-0.333231305029483,3.18837530072711,1.14804097241805,1.21027816347822,1.11038346560801,0.109023937421544,-1.14503765228127,0.972122085943987,3.21335145727276,0.482252703423814,0.843770430436834,-0.0984172434302485,-1.06126726744151,-0.86477791008904,-1.23683900157409,-0.306350670000289,1.56567346563782,0.2349472407772,-0.485190673773394,-3.61077898946419,-0.482114514957315,0.447698359596718,3.21890426245468,0.00201737879925296,-1.05135667725872,-1.12506224611599,1.31650454374665,0.359572189826799,0.992524544548227,0.188861826599034,0.0653779293344897,-1.33586329170153,-2.09555461610044
"SEACell-15-Tfh",0.62995261700281,2.34234772732969,0.592915884464153,1.75787277777342,0.744870190001224,0.242248408413828,-0.871494571543123,1.38763725076721,-0.981051513457877,-2.20995792284442,-0.746603476797431,-0.449808272558297,-0.567090392354122,-0.733297844458078,1.15864025637242,0.742583469670742,-0.500115784696818,0.520724192125423,0.149105451693169,1.13862580687512,-0.308087112556198,-0.760955384195076,0.0568712509811844,1.46140576748375,0.526233744544233,1.3834482153171,-0.688029362037409,0.190250582497247,-0.687093882277635,0.838869987924201,-0.208392026647584,1.47908903982084,-0.731217613975779,-0.872048903855497,-0.464653095973888,-0.695196415427315,0.0920271380969905,0.510593681751682,-0.170366870079062,0.865639026479707,1.69400514532564,-0.517678607666014,0.347237649378131,0.412578440705714,0.629471184264433,0.581226290339999,1.5372804295734,0.230885637575601,0.405978561645569,1.24500499799088,-0.910553246675339,0.488270225674817,-0.459114851459711,-1.62539729918975,0.334357450672484,-0.910351659401352,-0.178280795736425,-2.66033905300283,-0.337723812256957,-0.155052715705293,0.617245702207517,-0.0844307070286219,-0.246594730840399,-1.14345167290272,0.0373329102947379,-0.0928415339282817,-0.846132100992482,-0.0766823466627174,-0.48423514444057,-1.08818617624773,-0.473325332865107
"SEACell-15-Tfh2",0.750763541363964,-0.263254055637094,1.23642220741627,-1.34375893790745,0.739104942779586,1.91978163415872,-0.732264698845522,0.02647598433919,0.518936122871664,1.8889875224735,-0.666337663960712,-1.3556813011156,0.488887132381102,2.6325162492255,-1.02554721750496,4.28293189923511,4.18464825120729,0.0428685010817851,1.26411893873219,-0.0408601736449371,-0.286752330490901,-0.601133189553934,-1.19171161628971,1.40461199569842,4.18271195346195,3.37267979229829,-1.03369519035249,0.129711737736318,0.801713289435718,-0.813102483040503,0.449754080967572,-1.72116981654285,-0.00990160950871364,1.99780402599649,-0.840078782738471,-0.228138433474323,-0.408987343274668,-1.68864940869771,0.970720921344437,-2.82350752905957,-0.68164528388928,5.29491264373337,1.32578501184621,-0.869743932064772,2.37357077374089,4.9348276806543,0.619818487895387,0.29382399938497,-0.890246959570676,-1.48954466598057,-0.0126400705287986,-1.86751080485003,-1.17327284563142,0.335154047316916,0.00586817582773321,3.34355935108542,-1.25361244644486,0.369666129493721,-0.451609992152661,-0.263326759225346,6.29145492018663,-0.337814064029621,-1.93480655850006,-1.03791939483335,-0.429819853558073,3.18254716514286,2.7642346002657,0.219100074222009,1.05274931212554,0.0432117767706573,-1.02758651581205
"SEACell-16-Tfh",4.26723313120134,-3.32858229833933,-1.25949767644372,-2.04411392922268,-0.0337347845435853,-0.781503068282028,-0.187248724608056,-1.4774677656376,1.11640497213378,-0.511410911738917,-0.116959166335691,1.03968478554698,4.38806791173037,-1.02877916860207,2.33479151880098,-0.578400001393789,-0.303323382987389,4.17750020054179,-0.688096296942145,-1.82317266523145,-0.425893071718562,-1.41087840739181,-0.550724654807073,2.68543457867102,1.17729628034371,-1.96967378369575,-0.404387774014785,-1.13103100538359,-0.499311790686131,0.267226930241397,-0.668188321727242,0.58524226681438,0.174807369883712,1.11831630694985,-0.0068953841358825,2.87922444757445,-0.190587767364851,-1.21363030779729,-0.639491499918735,-2.9048899918525,-1.18950217404763,-0.485952426946668,-0.257110543765064,-0.452424564166541,0.849911397898824,-0.929934594704302,-2.02157612018138,1.65652695495951,0.587817046213752,-1.68864754644401,-0.964552273100849,-0.631837106283725,0.203148451921772,-0.417459046538832,-0.889166532734197,0.238970230561818,-0.16204968118478,9.98368847272254,1.33204105511995,-0.581068589817764,-2.17884339121307,-0.227723535204941,-1.41029750118939,0.132488606768156,0.0507341505014718,-0.282828906208112,0.973883322783781,-0.753576179328869,-0.760672169961861,0.00384729851880888,2.94819809322179
"SEACell-16-Tfh2",-3.35222026135623,-3.6288326092936,-3.22137324412294,-1.64262228612095,-1.19639102593706,-2.48561457338208,2.05737151916754,-0.697026712216184,3.42260956391772,3.70807304303119,2.70293487426346,1.14798781510476,6.48430382698725,0.294617919139967,0.710524833952123,-1.36604759345231,-1.00607588607267,-2.59860287008833,6.03424980754334,-1.18633823730574,0.703425015851731,-2.07154353949896,-0.978759942524943,-2.79498414330441,1.06723185030031,-4.0835011763624,0.396754491298564,2.47623064377151,2.20996269432469,-1.69996581901984,-0.208872186026738,-0.597227735055765,2.74912343475955,-0.159699188487455,1.6336075593062,-0.431125690270185,1.29422585819077,-3.52356479690064,0.734147883230616,-1.91438631764074,-1.86273596434039,-0.0183425366865623,-1.30559737851522,-1.59744281802579,0.0809070648765371,-3.87268716172701,-1.85316674963265,0.786770276144845,0.967792204789652,-0.985394783059671,4.49168282815284,-3.68418845675009,4.09636378494106,4.58192668717794,-3.04062504513701,1.26940297411473,-0.611942651991612,4.5171594590347,2.86100444734666,-0.281947267921888,-2.17434639029085,-0.652004304871422,-5.29737066956345,2.08084318960064,-0.657085028323132,-2.43621548127052,0.76461517859923,-2.61958292269843,-0.901360973810996,1.99379182835588,-3.65890461566984
"SEACell-17-Tfh",-1.73020738249096,-2.91164212410621,-1.79351687213882,-0.956680920675328,-1.61571118689841,-1.84040452157519,2.41875519654239,-1.42304409947941,1.39933091326042,0.109967164328837,2.28291042033267,1.9174428131944,2.49304270272208,-0.428152764238173,-0.412358261999148,-1.71776605981437,-0.555622828896731,-0.754841526706237,4.60123947746994,-1.522928114464,-0.0132969147442068,1.66583866582954,0.894874503857551,-2.40577061152434,-1.50128076700791,-1.97674717341536,1.31275180368844,-0.819978273896755,-0.754153348222372,-1.68093351190691,-0.0925036557596705,0.0912228745378779,0.482958596575357,-0.330448523063667,2.37676528628008,0.499939860501851,-2.13693402206502,-0.0181248975373239,-0.831012489714536,-1.36109156080434,-1.94686895049042,-0.211965423961018,-2.2210469103883,-1.51020538606444,0.374458349613868,-0.773660547066985,-2.77000173925083,-0.913497818222635,-0.121374597329187,-1.46732845221266,2.28054012115707,-1.80740056284471,3.21201998410136,2.97426254165864,-1.74812617538188,-1.0264419308961,-0.742961999416704,0.198127292946073,0.576921282342899,-0.24397984759356,-2.09687862799941,-0.368224266488793,-1.35442107894956,1.36505633446919,-1.71684907552927,-1.85185238604371,-0.870006366027607,-0.627907275470342,0.332700086461386,1.46642258625708,-0.777774968058468
"SEACell-17-Tfh2",-0.738741618006593,-0.616690345322195,0.577578190855674,-2.89780461061339,0.449391821543613,1.08553472972712,-0.462460363989203,0.916081473997739,3.52894140237893,2.37961132605419,-1.13294579935138,-1.17011621645483,3.58545290136201,0.0604415592765147,-0.533802552081202,-0.444392473074294,-0.146103505310027,-0.513240043066646,2.15052349436418,0.568455376491191,-0.106976776577496,-1.80981837502675,-1.15597487413244,1.26152269392174,1.59250373060797,-0.590857726328607,-0.577853840375061,1.50605131965812,3.4496625300995,-1.42646541916964,-0.276621561752227,-0.752560744989629,0.972371370847916,-0.237107492877382,-0.8612619912584,-1.13187159690335,-0.00424782941144969,-0.347835835827094,0.811431190789202,-1.26903552719142,0.0242284164448895,1.37348297862822,-0.046709571550262,-1.45657061001739,-0.113558847864188,0.090243839208674,0.98979442741766,0.91268636979392,-0.510732882299266,0.609112966783212,-0.416163761092046,-2.77921504381632,-0.909843688591889,0.262946046118365,-1.9794098718943,0.821713086383927,4.52724880282985,2.0263882068935,0.544508282046169,1.86220132933613,4.16675478367711,9.75815603249429,-2.4605456777054,-0.460554846287944,2.10814928655957,0.511125523092847,2.85905681497971,0.69814570652299,-0.421899112266172,-0.0585658403419878,0.563641210692738
