Genes,Naive,Early Extra-GC TFH,Late Extra-GC TFH,GC
MAX,0.0019035562372372696,0.0015780310748289984,0.0017553413558974284,0.001207483504786094
MAZ,0.0009856728759934407,0.002194911799763398,0.0012135387208924194,0.001894368576835744
MBNL2,0.0007125310658233602,0.0006511604306264703,0.0005911000989766527,0.0002148335890643978
MECOM,0.0001388381048261071,0.0001710794583344152,0.00014029635538977334,0.00016120232799552957
MECP2,0.0008366394075600338,0.0005740202721081496,0.000496306791572597,0.0007394138002407716
MEF2A,0.002778268894512072,0.003294325108443764,0.0006898430871201307,0.003650790017701288
MEF2B,0.0015721586589451816,0.0002627541563028544,0.0002307612420073997,0.00028805399645278414
MEF2C,0.001379670626922088,0.003289322426982601,0.0033457060879273806,0.0011292069114686347
MEF2D,0.003094242458176257,0.003186373167881837,0.002627063994903919,0.003731803956407156
MEIS1,0.0001475909811303591,0.00016715156152888663,0.00014336524127937396,0.00015414006650170536
MEOX1,0.0002621266428609572,0.0017297976732183887,0.0005325193250655799,0.00014243765444689016
MGA,0.0011911397934984192,0.000910971633765304,0.0006194747588121228,0.0008947647835350076
MLX,0.0014849464294150318,0.0013034161710741253,0.0012025046634898343,0.0016540934816887888
MLXIP,0.00026268770013640735,0.0002686735196652052,0.00012660417047412163,0.0001881584199208594
MTF1,0.0005170307739888145,0.0007656245794336302,0.0005175154297730733,0.0004955572431658814
MTF2,0.00021304808709822728,0.0002999761806673304,0.00018926018702855124,0.00033991104367674444
MXD1,0.0001441693968770135,0.0001705936696648127,0.00035252874765192064,0.00023527911439411305
MXI1,0.0014119894203703917,0.0001287643876214137,0.0001101296872428628,0.0004173664156358067
MYB,0.0002733033268503094,0.0002635318647349091,0.0002024746707028988,0.0006879484905069242
MYC,0.0008526635622488007,0.0004576428100989141,0.0008483380603419356,0.0008729252210421534
MYNN,0.0010763409867991726,0.0009770672020074451,0.0008723239115373432,0.0009232674085208404
MYOD1,0.00017334627375346624,0.0002032693549413453,0.0001930502231109809,0.00027784673379250934
MYOG,0.00015294800550731604,0.0001844993991729312,0.00018237787229924827,0.0001922870285793602
MZF1,0.003139592406961073,0.005518537632096457,0.002732444616780148,0.0024265879398768925
NANOG,0.0014578303350573168,0.0010993785675749855,0.0004624762248578696,0.0009100583482666868
NEUROD1,0.00011578100388965732,0.00011755126698064572,0.00011445250454762908,0.00012652383872537292
NFAT5,0.0015619154849458583,0.0022909311743380184,0.003260512739586673,0.0018893038001485051
NFATC1,0.004633532808667253,0.003607449814292264,0.00688908712495276,0.007740371052136947
NFATC2,0.0012827162390415788,0.001819298496197676,0.002586969880830224,0.003001723997924722
NFATC3,0.000985613005834295,0.0004293755420473566,0.0006177392649728647,0.0005158273189235347
NFATC4,0.00029126090771018447,0.0003229183661751914,0.00026542248307011643,0.00032074825548121256
NFE2,0.00012209898279911163,0.000188265941404506,0.00017231092527932677,0.00013351471591064256
NFE2L1,0.0006274520827058806,0.0001514741332232391,0.0016548461554042244,0.0006069473296043556
NFE2L2,0.00200761512848872,0.00214678501605452,0.001523951732737502,0.001879828801334056
NFE2L3,0.0002158754158114937,0.0004757685690271998,0.0003537075001346257,0.00014538529888356074
NFE4,0.00018775054975648804,0.00020945403144241497,0.0002206091711979803,0.0002648012285794468
NFIC,0.00019160077311081256,0.0007831800030378884,0.00028885220278802734,0.0005360953095683215
NFKB1,0.0013926919608797084,0.0008348957976767363,0.0013301466516480128,0.0018648466511653429
NFYA,0.002120151920730358,0.002153236621056271,0.002229007122783722,0.0019268950817017455
NFYB,0.0010011317894222786,0.0014767870105166273,0.001871017583865408,0.0014127728562692108
NFYC,0.0021256580780358567,0.0009139630767236524,0.0021737539240536405,0.0021307178606372896
NHLH2,0.00013284797960620793,0.00013729226099169092,0.00012573036325232062,0.0001503971903647856
NKX2-1,0.00013628115230313013,0.0002096428970266036,0.00017932739830865297,0.0001442044450083006
NKX2-2,0.00021330610571184785,0.00023753908907664915,0.0002460971025512983,0.000302663566957968
NKX2-5,0.0002757912777201475,0.000336902320864756,0.00029470646881011035,0.0003481746607988419
NKX2-8,0.00011425089562330528,0.00012770009883576183,0.00015611772749156953,0.00011925452720358948
NKX3-1,0.0010748541527429642,0.00020261142974373555,0.00021099389889126945,0.00022921159312308263
NKX3-2,0.0005277218261665492,0.0002775096187174073,0.00027703962802708387,0.0003616094867067536
NR1D1,0.001245138354851703,0.0005747769499827637,0.0009129442060181652,0.0007265850808182016
NR1H2,0.0005021769027552109,0.0005645499197766098,0.0003978920915215756,0.0007372970845983019
NR1H3,0.0002574737085503355,0.0006254815779591332,0.0001495051089802,0.00026713176026284366
NR1H4,0.00014385049620613906,0.00018081423214040695,0.00015599097261944915,0.0001683352721530421
NR2C2,0.0011774455861400183,0.0018285583737238987,0.0026000677288470987,0.0017123234084157925
NR2E1,0.0002955730502739384,0.0001832659045272266,0.00017039517327017064,0.0001811836611355785
NR2E3,0.000597876053953657,0.0005034924405743952,0.00040722202102648985,0.0005050398755640065
NR2F1,0.0001220626709135833,0.00014424964752170308,0.00013882559573990177,0.0001655292149751834
NR2F6,0.0030136464024536867,0.00030014877469370537,0.0007216480478283343,0.0008068191640928253
NR3C1,0.0017321055615716625,0.002223183209018457,0.0014411052040282438,0.004116374270509839
NR4A1,0.005078648665730551,0.004079171450174068,0.004429802476612793,0.002809245659054392
NR4A2,0.004795535867788386,0.007082168840716361,0.00501599860337937,0.0049806418856716056
NR4A3,0.0006699683445628586,0.0006045457972263905,0.0007945816310981684,0.0004783752365820151
NR5A2,0.0002113489964587401,0.0003005609459464947,0.00030223887731662584,0.0005738735682620816
NRF1,0.0010550086172202806,0.0014943201214459255,0.0007910855624180166,0.0014973462470173956
OLIG2,0.0002509567428726139,0.00014822122391051505,0.00012485982436377972,0.00013083708616242384
OLIG3,0.00023983936987825448,0.00014252432750145157,0.00011829827206834792,0.0001201030189105074
PATZ1,0.0003623031713448597,0.0002553063906586624,0.0005405025110967792,0.0006008563874562631
PAX4,0.00014477392644583647,0.00015944453456544954,0.00012640393119737553,0.00015254111811953115
PAX5,0.0009696857416834564,0.0010634865771635817,0.002148169480641859,0.00021065542584434063
PAX6,0.0008048193084575156,0.0005231898410778587,0.00017162915022731813,0.00023310415649654495
PBX1,0.0002034215218191766,0.0002335508187189884,0.00020030584470624504,0.0002448824753556506
PBX2,0.0004902182779817417,0.0006237571174608535,0.0003884591124758608,0.00031401344772292403
PBX3,0.001395448160658187,0.0001880050674920162,0.0014359886417588926,0.0015301421455724711
PBX4,0.0005008437956395762,0.0006467272757758324,0.0001363322093476415,0.0003902114356339008
PDX1,0.00015442529782094767,0.00017976072724801916,0.00017195731912028186,0.0001918474209240252
PGR,0.0001275190129476799,0.0001926432865546775,0.00015482125164623217,0.0001618724680413062
PHOX2B,0.0002102572720697191,0.00023273923946170785,0.00020099906783343287,0.00024204327995011225
PITX2,0.0001405261900358243,0.00015178779405413474,0.00014107101733441655,0.00015569115527072543
PITX3,0.0001201834647256572,0.0001393319862319624,0.0001128362840193696,0.0001220036694706605
PKNOX1,0.00013377860321903896,0.0004845175880553816,0.00024494142577382785,0.00026490617530759773
PLAG1,0.000984284827600765,0.00014455380715806303,0.0003323398474340629,0.0008199635504856232
POU1F1,0.0003124469608335516,0.0003113423806873781,0.00027954588727048193,0.0003356678989028296
POU2AF1,0.0006696910226185554,0.0008140899045969895,0.0016743399828588522,0.0019118053908321257
POU2F1,0.003248191327759864,0.0027118448801278176,0.0034805627853780924,0.00235220036596864
POU2F2,0.0009776195017060152,0.0004615018847126189,0.003606400108073238,0.002855682652012106
POU2F3,0.00016267047698255476,0.00015626649145370728,0.00014085469025451296,0.00018588792371805705
POU3F1,0.0003212196286100791,0.0003094702677105958,0.0002661822410100578,0.0012889845404129004
POU3F2,0.0003176492858613159,0.00031656481911819973,0.0002805004058656339,0.0003444172110301682
POU3F3,0.00046565957675660254,0.0004944286569617826,0.0004449477694939532,0.0005514951578077768
POU3F4,0.0003603840417111197,0.0003427465935375949,0.00030161186210835543,0.0003696271154194277
POU4F1,0.0001647923424312607,0.00016488377887677772,0.00014834537317139104,0.0001880556489592668
POU4F2,0.00016203313972137863,0.0001667498558879199,0.00014315202601041777,0.0002135340116772166
POU4F3,0.0001772128574612005,0.00017004965619221496,0.00015738332319307965,0.00021537630631245937
POU5F1,0.0007869668303505098,0.001142042917275849,0.0002853832416253395,0.0007894829592281593
POU5F1B,0.00022140126185066943,0.0002792085220704048,0.0002440521316138693,0.0002596980829259715
POU6F1,0.00017426387205090124,0.0004085010483779853,0.0001440692449613897,0.00016827513962300422
PPARA,0.0011675705004321891,0.0010755087345661282,0.0005826243499950666,0.00039322890334672405
PRDM1,0.0027626029376775687,0.002270055236942754,0.00952393942053808,0.0036149874164926846
PRDM16,0.0016874678839983277,0.0005295118230774526,0.00046748044356485297,0.000484250916322483
PRDM4,0.0002937865959606332,0.00026674850591290746,0.00011268678732455866,0.0005450547222914133
PRDM6,0.0005650530984460333,0.0006824294229765689,0.0005675715531746361,0.0005941220241267523
PRDM9,0.0001737808358539085,0.00019349846966605297,0.0001846984865607041,0.0001940331063728717
PROP1,0.00016351781154169784,0.00015422470447543017,0.00013474720106215448,0.00016325393105558756
PRRX1,0.0005062557586235522,0.000679333828893057,0.0005461690644297009,0.0005578875033831156
PRRX2,0.00014619424338677505,0.0001813271252971276,0.00016296200286514335,0.0001774014575618739
PTF1A,0.000127136240146913,0.00014857190458541993,0.00014926136635466338,0.00016369178990147514
PURA,0.0006112348430975317,0.0004633663704934472,0.0005719989686534257,0.0004944563533639151
RARA,0.0005893382591079155,0.000837537843065268,0.002002358294069375,0.0003889867899194817
RARB,9.726301423913614e-05,0.00016159524168414427,0.00014191035098581187,0.00012080466850093931
RARG,0.0001071534666928819,0.000167682005552772,0.0013069656214324602,0.00011540230167881668
RBAK,0.0004903180379690742,0.0007030035549162458,0.0003129682509862935,0.00017839998255287496
RBPJ,0.0014559420804556571,0.001686613179993381,0.0020152357917696834,0.0022466648159243344
REL,0.002369482504264343,0.0035824059049444305,0.002768080496077077,0.002743192135067781
RELA,0.001301853874553689,0.00208862656866415,0.0020856433601832624,0.0028741751778479704
RELB,0.0007221159520939449,0.00010219680560640996,0.0006891073905000305,0.0009285772763264722
REST,0.002310989320724569,0.001914182457069576,0.003167129725476756,0.003641387611598748
RFX1,0.00012810249371342708,0.0005675479055952175,0.0004844212922649695,0.0004658861512792713
RFX3,0.0016644555450618598,0.0010315882180577803,0.0003755371287074026,0.0010089363230773665
RFX5,0.0012410939670682527,0.0014116008356988626,0.002614280049408927,0.0015695382358896389
RFX7,0.00020078509137793488,0.00035304622580737685,0.00026642295647469886,0.0003013866159300218
RORA,0.000944418163854008,0.003251717679240024,0.0022250405958803123,0.0011375299961171165
RORC,0.00029743974331619943,0.001153718961927897,0.0015280763261819375,0.0003080613620248486
RREB1,0.0012505819402779171,0.002042446981955485,0.00019226466608513625,0.0012008202931662348
RUNX1,0.002025373373592909,0.0018652569481086892,0.0034184472166289464,0.001859613993673065
RUNX2,0.0001666965186795627,0.0001915612524767409,0.0007912878821968454,0.0001875600328665201
RUNX3,0.00041748986360035806,0.00043686793293972966,0.0006854855537762278,0.0002651387789946916
