Genes,Naive_rank,Early Extra-GC TFH_rank,Late Extra-GC TFH_rank,GC_rank
NR4A2,0.0421455938697318,0.03065134099616858,0.044061302681992334,0.04980842911877394
ZNF143,0.040229885057471264,0.05938697318007663,0.22030651340996169,0.05172413793103448
SP2,0.04789272030651341,0.09003831417624521,0.0210727969348659,0.05363984674329502
STAT2,0.09195402298850575,0.18582375478927204,0.04597701149425287,0.05555555555555555
BATF,0.13218390804597702,0.08237547892720307,0.14367816091954022,0.05747126436781609
TCF7,0.034482758620689655,0.032567049808429116,0.028735632183908046,0.05938697318007663
STAT6,0.07854406130268199,0.10344827586206896,0.06896551724137931,0.06130268199233716
STAT3,0.06513409961685823,0.11685823754789272,0.15708812260536398,0.06321839080459771
SP4,0.05938697318007663,0.08812260536398467,0.03065134099616858,0.06513409961685823
ZNF770,0.09386973180076628,0.034482758620689655,0.15134099616858238,0.06704980842911877
ZBTB17,0.1839080459770115,0.10727969348659004,0.20306513409961685,0.06896551724137931
ZNF460,0.08237547892720307,0.06896551724137931,0.05555555555555555,0.07088122605363985
YY1,0.18007662835249041,0.10153256704980843,0.1724137931034483,0.07279693486590039
ZEB1,0.1206896551724138,0.18199233716475097,0.23371647509578544,0.07471264367816093
NR3C1,0.17049808429118773,0.14942528735632185,0.26053639846743293,0.07662835249042145
FOXO3,0.10344827586206896,0.11494252873563218,0.13793103448275862,0.07854406130268199
VEZF1,0.01532567049808429,0.022988505747126436,0.013409961685823755,0.08045977011494253
GABPA,0.1111111111111111,0.3045977011494253,0.2988505747126437,0.08237547892720307
REST,0.12643678160919541,0.15517241379310345,0.10153256704980843,0.0842911877394636
ATF3,0.09770114942528736,0.04980842911877394,0.10727969348659004,0.08620689655172414
PRDM1,0.10919540229885058,0.15708812260536398,0.02681992337164751,0.08812260536398467
ZNF384,0.47126436781609193,0.2260536398467433,0.16283524904214558,0.09003831417624521
SREBF2,0.14559386973180077,0.13409961685823754,0.05172413793103448,0.09195402298850575
ZFX,0.14942528735632185,0.28160919540229884,0.04789272030651341,0.09386973180076628
IKZF3,0.29118773946360155,0.1724137931034483,0.12260536398467432,0.09578544061302682
ZNF341,0.6091954022988506,0.29310344827586204,0.03639846743295019,0.09770114942528736
REL,0.10727969348659004,0.06130268199233716,0.1206896551724138,0.09961685823754789
MAF,0.5287356321839081,0.16475095785440613,0.1896551724137931,0.10153256704980843
IRF7,0.0842911877394636,0.3773946360153257,0.16666666666666666,0.10344827586206896
ZNF180,0.4329501915708812,0.6091954022988506,0.08812260536398467,0.1053639846743295
ZNF148,0.07662835249042145,0.0842911877394636,0.1685823754789272,0.10727969348659004
IRF4,0.09578544061302682,0.1475095785440613,0.05938697318007663,0.10919540229885058
ZNF76,0.08812260536398467,0.1417624521072797,0.18199233716475097,0.1111111111111111
ELK1,0.11877394636015326,0.18007662835249041,0.1111111111111111,0.11302681992337164
IRF8,0.07088122605363985,0.07088122605363985,0.09003831417624521,0.11494252873563218
FOXO1,0.05363984674329502,0.06704980842911877,0.10919540229885058,0.11685823754789272
ELK3,0.12260536398467432,0.06513409961685823,0.1053639846743295,0.11877394636015326
RELA,0.2413793103448276,0.16666666666666666,0.19540229885057472,0.1206896551724138
ATF4,0.08620689655172414,0.09195402298850575,0.17049808429118773,0.12260536398467432
MZF1,0.07471264367816093,0.019157088122605363,0.14559386973180077,0.12452107279693486
MEF2D,0.11302681992337164,0.1206896551724138,0.16091954022988506,0.12643678160919541
IRF2,0.15134099616858238,0.09386973180076628,0.07279693486590039,0.12835249042145594
NFATC2,0.28735632183908044,0.23754789272030652,0.11302681992337164,0.13026819923371646
KLF10,0.11685823754789272,0.06321839080459771,0.1839080459770115,0.13218390804597702
POU2F2,0.4272030651340996,0.6379310344827587,0.11685823754789272,0.13409961685823754
EGR1,0.06896551724137931,0.05555555555555555,0.08237547892720307,0.1360153256704981
ZFP82,0.16475095785440613,0.7068965517241379,0.06704980842911877,0.13793103448275862
LEF1,0.022988505747126436,0.038314176245210725,0.09961685823754789,0.13984674329501914
GTF3A,0.16666666666666666,0.13793103448275862,0.2049808429118774,0.1417624521072797
FOXK1,0.08045977011494253,0.12452107279693486,0.38122605363984674,0.14367816091954022
FOSB,0.13984674329501914,0.05172413793103448,0.07471264367816093,0.14559386973180077
ZNF267,0.3103448275862069,0.10919540229885058,0.05747126436781609,0.1475095785440613
NRF1,0.19731800766283525,0.17624521072796934,0.23754789272030652,0.14942528735632185
IRF9,0.2260536398467433,0.3371647509578544,0.2509578544061303,0.15134099616858238
KLF4,0.29310344827586204,0.2413793103448276,0.23946360153256704,0.1532567049808429
HSF1,0.13793103448275862,0.16283524904214558,0.2835249042145594,0.15517241379310345
SMAD3,0.42337164750957856,0.4501915708812261,0.21264367816091953,0.15708812260536398
E2F4,0.8045977011494253,0.24329501915708812,0.18582375478927204,0.15900383141762453
FLI1,0.06321839080459771,0.04597701149425287,0.09195402298850575,0.16091954022988506
ELF4,0.23946360153256704,0.08620689655172414,0.0842911877394636,0.16283524904214558
FOXN3,0.10153256704980843,0.2720306513409962,0.2164750957854406,0.16475095785440613
MEF2A,0.14367816091954022,0.1532567049808429,0.5,0.16666666666666666
NR4A1,0.044061302681992334,0.07854406130268199,0.09770114942528736,0.1685823754789272
NFKB1,0.18773946360153257,0.38122605363984674,0.26436781609195403,0.17049808429118773
ELF2,0.12452107279693486,0.1360153256704981,0.19731800766283525,0.1724137931034483
ZNF35,0.5363984674329502,0.47509578544061304,0.5268199233716475,0.1743295019157088
GATA3,0.22796934865900384,0.09578544061302682,0.11877394636015326,0.17624521072796934
FOXJ2,0.2988505747126437,0.29118773946360155,0.07662835249042145,0.1781609195402299
BACH1,0.4157088122605364,0.16091954022988506,0.22413793103448276,0.18007662835249041
ATF6B,0.17624521072796934,0.18773946360153257,0.09578544061302682,0.18199233716475097
NFYC,0.1743295019157088,0.3333333333333333,0.15900383141762453,0.1839080459770115
MAZ,0.2796934865900383,0.1743295019157088,0.2796934865900383,0.18582375478927204
CREB1,0.2681992337164751,0.11877394636015326,0.21839080459770116,0.18773946360153257
ZNF548,0.23180076628352492,0.8946360153256705,0.09386973180076628,0.1896551724137931
ZNF274,0.11494252873563218,0.19540229885057472,0.4003831417624521,0.19157088122605365
ZNF71,0.13409961685823754,0.3065134099616858,0.20881226053639848,0.19348659003831417
ZNF121,0.24329501915708812,0.2509578544061303,0.24521072796934865,0.19540229885057472
POU2F1,0.23371647509578544,0.1839080459770115,0.13984674329501914,0.19731800766283525
ZNF394,0.06704980842911877,0.12835249042145594,0.13409961685823754,0.19923371647509577
ZNF586,0.3716475095785441,0.36015325670498083,0.3888888888888889,0.20114942528735633
CREM,0.12835249042145594,0.07662835249042145,0.17624521072796934,0.20306513409961685
SOX4,0.19923371647509577,0.446360153256705,0.49233716475095785,0.2049808429118774
ETV6,0.4425287356321839,0.1896551724137931,0.13026819923371646,0.20689655172413793
ZNF45,0.342911877394636,0.36590038314176243,0.6302681992337165,0.20881226053639848
NFE2L2,0.19348659003831417,0.15900383141762453,0.27011494252873564,0.210727969348659
TFCP2,0.5019157088122606,0.27011494252873564,0.36590038314176243,0.21264367816091953
STAT1,0.1685823754789272,0.22796934865900384,0.27586206896551724,0.21455938697318008
NFYA,0.20114942528735633,0.15134099616858238,0.1475095785440613,0.2164750957854406
HIF1A,0.21455938697318008,0.20689655172413793,0.2662835249042146,0.21839080459770116
RBPJ,0.2509578544061303,0.19923371647509577,0.20114942528735633,0.22030651340996169
FOXP1,0.1532567049808429,0.23946360153256704,0.2720306513409962,0.2222222222222222
