Genes,Naive_rank,Early Extra-GC TFH_rank,Late Extra-GC TFH_rank,GC_rank
E2F6,0.8571428571428571,0.9090909090909091,0.4448051948051948,0.5324675324675324
BHLHE40,0.461038961038961,0.4383116883116883,0.2922077922077922,0.5357142857142857
ZNF260,0.33766233766233766,0.39935064935064934,0.2532467532467532,0.538961038961039
ZNF335,0.525974025974026,0.6785714285714286,0.5909090909090909,0.5422077922077922
NR2C2,0.5422077922077922,0.4772727272727273,0.35064935064935066,0.5454545454545454
ZNF776,0.37662337662337664,0.1461038961038961,0.7045454545454546,0.5487012987012987
ZNF324,0.6655844155844156,0.4318181818181818,0.7532467532467533,0.551948051948052
SREBF1,0.6753246753246753,0.2857142857142857,0.5844155844155844,0.5551948051948052
SALL2,0.6558441558441559,0.8961038961038961,0.8766233766233766,0.5584415584415584
MTF1,0.5454545454545454,0.5032467532467533,0.6298701298701299,0.5616883116883117
ZNF766,0.6396103896103896,0.44155844155844154,0.788961038961039,0.564935064935065
ZNF580,0.9675324675324676,0.7142857142857143,0.7467532467532467,0.5681818181818182
SRF,0.37337662337662336,0.5,0.7207792207792207,0.5714285714285714
ZNF28,0.6590909090909091,0.8701298701298701,0.5032467532467533,0.5746753246753247
MAFF,0.6038961038961039,0.5714285714285714,0.44155844155844154,0.577922077922078
PATZ1,0.5487012987012987,0.9025974025974026,0.5324675324675324,0.5811688311688312
AHR,0.8668831168831169,0.12987012987012986,0.5422077922077922,0.5844155844155844
ZNF682,0.512987012987013,0.5454545454545454,0.6168831168831169,0.5876623376623377
ZNF467,0.14935064935064934,0.4902597402597403,0.5584415584415584,0.5909090909090909
TFDP2,0.5357142857142857,0.672077922077922,0.5941558441558441,0.5941558441558441
HIVEP2,0.6363636363636364,0.827922077922078,0.4675324675324675,0.5974025974025974
KLF15,0.4935064935064935,0.4837662337662338,0.5551948051948052,0.6006493506493507
ATF7,0.4967532467532468,0.6363636363636364,0.6915584415584416,0.6038961038961039
E2F3,0.6948051948051948,0.7012987012987013,0.724025974025974,0.6071428571428571
TGIF1,0.6331168831168831,0.19805194805194806,0.7175324675324676,0.6103896103896104
KLF1,0.4902597402597403,0.4967532467532468,0.5454545454545454,0.6136363636363636
TFAP4,0.6525974025974026,0.9935064935064936,0.9545454545454546,0.6168831168831169
ZNF774,0.5811688311688312,0.7435064935064936,0.974025974025974,0.6201298701298701
POU2F1,0.827922077922078,0.6428571428571429,0.4837662337662338,0.6233766233766234
ZNF524,0.788961038961039,0.8928571428571429,0.7597402597402597,0.6266233766233766
MBD2,0.6461038961038961,0.4512987012987013,0.6818181818181818,0.6298701298701299
WT1,0.5584415584415584,0.6623376623376623,0.6071428571428571,0.6331168831168831
CEBPZ,0.487012987012987,0.5357142857142857,0.7435064935064936,0.6363636363636364
FOXN3,0.4837662337662338,0.711038961038961,0.685064935064935,0.6396103896103896
ZNF692,0.5292207792207793,0.6168831168831169,0.577922077922078,0.6428571428571429
FOXK1,0.5714285714285714,0.474025974025974,0.8311688311688312,0.6461038961038961
ZNF765,0.22402597402597402,0.2532467532467532,0.9025974025974026,0.6493506493506493
ZNF350,0.9805194805194806,0.8311688311688312,0.9512987012987013,0.6525974025974026
ZNF444,0.4155844155844156,0.38311688311688313,0.9253246753246753,0.6558441558441559
CEBPG,0.7012987012987013,0.7272727272727273,0.9935064935064936,0.6590909090909091
PURA,0.42207792207792205,0.8409090909090909,0.5064935064935064,0.6623376623376623
ZNF891,0.5194805194805194,0.8506493506493507,0.09415584415584416,0.6655844155844156
ZFP64,0.31493506493506496,0.40584415584415584,0.7077922077922078,0.6688311688311688
BCL11A,0.23376623376623376,0.3474025974025974,0.5227272727272727,0.672077922077922
ZFP14,0.5227272727272727,0.6396103896103896,0.6623376623376623,0.6753246753246753
ZNF486,0.9512987012987013,0.5681818181818182,0.44805194805194803,0.6785714285714286
ZNF708,0.9772727272727273,0.5746753246753247,0.7922077922077922,0.6818181818181818
ZNF597,0.5064935064935064,0.39285714285714285,0.9318181818181818,0.685064935064935
SMAD4,0.5324675324675324,0.2435064935064935,0.7857142857142857,0.6883116883116883
TFAP2A,0.685064935064935,0.5194805194805194,0.7564935064935064,0.6915584415584416
TP53,0.6493506493506493,0.8733766233766234,0.5194805194805194,0.6948051948051948
ZNF527,0.7337662337662337,0.6948051948051948,0.4642857142857143,0.698051948051948
HBP1,0.8538961038961039,0.8051948051948052,0.9837662337662337,0.7012987012987013
XBP1,0.8246753246753247,0.8538961038961039,0.6753246753246753,0.7045454545454546
KLF5,0.5941558441558441,0.724025974025974,0.7337662337662337,0.7077922077922078
ZNF563,0.814935064935065,0.6136363636363636,0.75,0.711038961038961
ZSCAN22,0.17532467532467533,0.4155844155844156,0.23376623376623376,0.7142857142857143
ZBED6,0.711038961038961,0.8441558441558441,0.39935064935064934,0.7175324675324676
KLF14,0.6201298701298701,0.8181818181818182,0.6590909090909091,0.7207792207792207
GTF2B,0.7564935064935064,0.538961038961039,0.8344155844155844,0.724025974025974
TFAP2C,0.7435064935064936,0.564935064935065,0.775974025974026,0.7272727272727273
CUX1,0.35064935064935066,0.487012987012987,0.262987012987013,0.7305194805194806
ZNF398,0.5162337662337663,0.6655844155844156,0.6948051948051948,0.7337662337662337
