Genes,Naive_rank,Early Extra-GC TFH_rank,Late Extra-GC TFH_rank,GC_rank
ZNF84,0.24671052631578946,0.5427631578947368,0.14473684210526316,0.32401315789473684
ZNF846,0.25493421052631576,0.5361842105263158,0.29276315789473684,0.3256578947368421
MYC,0.34375,0.4967105263157895,0.33223684210526316,0.32730263157894735
IKZF5,0.6019736842105263,0.46875,0.5230263157894737,0.32894736842105265
FOXD2,0.7319078947368421,0.6743421052631579,0.6842105263157895,0.3305921052631579
TGIF1,0.2878289473684211,0.19407894736842105,0.28618421052631576,0.33223684210526316
CUX1,0.16776315789473684,0.21546052631578946,0.18421052631578946,0.3338815789473684
ZNF418,0.7763157894736842,0.8092105263157895,0.8256578947368421,0.3355263157894737
ZNF718,0.4967105263157895,0.5032894736842105,0.7549342105263158,0.3371710526315789
CEBPG,0.24177631578947367,0.3371710526315789,0.49835526315789475,0.33881578947368424
THAP11,0.17927631578947367,0.3667763157894737,0.3125,0.3404605263157895
ZNF713,0.37993421052631576,0.32894736842105265,0.08388157894736842,0.34210526315789475
STAT5A,0.3042763157894737,0.2746710526315789,0.35526315789473684,0.34375
BCL11A,0.07236842105263158,0.1118421052631579,0.31085526315789475,0.34539473684210525
ZSCAN30,0.3832236842105263,0.34210526315789475,0.7055921052631579,0.3470394736842105
ZNF774,0.40460526315789475,0.45394736842105265,0.6891447368421053,0.34868421052631576
MAFF,0.2746710526315789,0.28125,0.13980263157894737,0.3503289473684211
PLAG1,0.30098684210526316,0.881578947368421,0.5542763157894737,0.3519736842105263
ATF7,0.3996710526315789,0.375,0.32730263157894735,0.3536184210526316
ZNF611,0.3684210526315789,0.6085526315789473,0.587171052631579,0.35526315789473684
EBF1,0.3157894736842105,0.7894736842105263,0.3470394736842105,0.3569078947368421
ZBTB2,0.3305921052631579,0.9111842105263158,0.30098684210526316,0.35855263157894735
NR2F6,0.07730263157894737,0.6052631578947368,0.37335526315789475,0.36019736842105265
ZNF335,0.36348684210526316,0.37664473684210525,0.45230263157894735,0.3618421052631579
BHLHE40,0.5115131578947368,0.3618421052631579,0.2746710526315789,0.36348684210526316
LIN54,0.28289473684210525,0.537828947368421,0.18585526315789475,0.3651315789473684
ZNF557,0.19572368421052633,0.506578947368421,0.09375,0.3667763157894737
USF1,0.3717105263157895,0.4243421052631579,0.36348684210526316,0.3684210526315789
POU5F1,0.3667763157894737,0.26480263157894735,0.6036184210526315,0.37006578947368424
ZKSCAN1,0.40625,0.24177631578947367,0.4605263157894737,0.3717105263157895
ZNF41,0.5394736842105263,0.5164473684210527,0.9078947368421053,0.37335526315789475
FOXP2,0.8289473684210527,0.8470394736842105,0.3980263157894737,0.375
ZNF169,0.14802631578947367,0.5592105263157895,0.3223684210526316,0.37664473684210525
CXXC1,0.4342105263157895,0.36019736842105265,0.5279605263157895,0.3782894736842105
SETDB1,0.23026315789473684,0.2894736842105263,0.2138157894736842,0.37993421052631576
ATF1,0.4243421052631579,0.37006578947368424,0.48848684210526316,0.3815789473684211
E2F6,0.8305921052631579,0.5986842105263158,0.4029605263157895,0.3832236842105263
HMG20B,0.22697368421052633,0.2993421052631579,0.26480263157894735,0.3848684210526316
ZNF3,0.4506578947368421,0.975328947368421,0.2532894736842105,0.38651315789473684
MECP2,0.3503289473684211,0.43585526315789475,0.47039473684210525,0.3881578947368421
NR1H2,0.48848684210526316,0.4440789473684211,0.5164473684210527,0.38980263157894735
ZNF468,0.8898026315789473,0.5542763157894737,0.3305921052631579,0.39144736842105265
TP53,0.3930921052631579,0.5131578947368421,0.38651315789473684,0.3930921052631579
NR1D1,0.2450657894736842,0.4342105263157895,0.31743421052631576,0.39473684210526316
ZBTB48,0.4161184210526316,0.49506578947368424,0.40131578947368424,0.3963815789473684
ZNF436,0.8717105263157895,0.7138157894736842,0.7319078947368421,0.3980263157894737
UBP1,0.4654605263157895,0.8782894736842105,0.40625,0.3996710526315789
ARID3A,0.42105263157894735,0.3684210526315789,0.6595394736842105,0.40131578947368424
ZNF543,0.33223684210526316,0.27960526315789475,0.34868421052631576,0.4029605263157895
FOXC1,0.34868421052631576,0.3717105263157895,0.4095394736842105,0.40460526315789475
ZNF675,0.42598684210526316,0.42598684210526316,0.3667763157894737,0.40625
