	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
FOXA3	2.237268177803897e-3	1.1067400996590648e-2	8.434864104967188e-3	4.007338740826594e-3
FOXB1	9.42007653812138e-4	0.0	1.0802545257238672e-2	8.159521050598695e-3
FOXB2	1.3364733588460354e-2	2.669813794912146e-2	2.3479504760025693e-2	1.5449980687524123e-2
FOXC1	0.0	0.0	0.0	0.0
FOXC2	7.065057403591313e-4	3.671649619721995e-3	1.677107482858986e-3	1.4001544998069049e-3
FOXD1	4.239034442154788e-3	2.050878573301862e-2	1.9040102599516606e-2	5.552336809579006e-3
FOXD2	0.0	5.245213742460009e-3	3.7981551817688475e-3	3.3796832753959505e-3
FOXD3	0.0	1.0490427484921572e-4	0.0	0.0
FOXD4	1.0	1.0	1.0	1.0
FOXD4L1	1.0	1.0	1.0	1.0
FOXD4L3	1.0	1.0	1.0	1.0
FOXD4L4	1.0	1.0	1.0	1.0
FOXD4L5	1.0	1.0	1.0	1.0
FOXD4L6	1.0	1.0	1.0	1.0
FOXE1	4.356785398881402e-3	2.2869131917125585e-2	1.4699353820352146e-2	2.8968713789108147e-3
FOXE3	9.296438033559018e-2	8.334644636768951e-2	4.5479208799881654e-2	2.8823870220162195e-2
FOXF1	1.4718869590815142e-3	1.1434565958562848e-2	6.412469787401953e-3	5.552336809579006e-3
FOXF2	4.6511627906976605e-3	3.293994230264885e-2	2.8066886992551665e-2	1.7526071842410174e-2
FOXG1	7.653812187224052e-3	1.636506687647521e-2	1.1443792235978911e-2	1.0477018153727258e-2
FOXH1	0.16832499264056522	0.10411749278783111	0.1333300448872885	1.3229045963692565e-2
FOXI1	1.0597586105387524e-3	3.933910306844979e-3	1.8250875548759815e-3	1.7864040169949247e-3
FOXI2	4.6511627906976605e-3	1.694204038814584e-2	2.0273269866324717e-2	4.924681344148363e-3
FOXI3	4.94554018251403e-3	1.7833726724364007e-2	2.1950377349183592e-2	0.0
FOXJ1	1.0774212540476946e-2	1.6312614739050657e-2	2.5205938933556937e-2	1.0863267670915389e-2
FOXJ2	0.0	0.0	0.0	0.0
FOXJ3	0.0	0.0	0.0	0.0
FOXK1	0.0	0.0	0.0	0.0
FOXK2	0.0	1.5211119853133503e-3	1.7264341735312438e-3	9.607956740054102e-3
FOXL1	5.534294966146547e-3	1.6837136113296625e-2	1.0802545257238672e-2	8.980301274623459e-3
FOXL2	2.64939652634677e-3	5.6648308418567606e-3	4.587382232525972e-3	4.683275395905739e-3
FOXM1	0.0	0.0	0.0	0.0
FOXN1	1.0	1.0	1.0	1.0
FOXN2	4.592287312334409e-3	7.238394964594774e-3	1.8448182311448735e-2	6.662804171494785e-3
FOXN3	0.0	0.0	0.0	0.0
FOXN4	1.0	1.0	1.0	1.0
FOXO1	0.0	0.0	0.0	0.0
FOXO3	0.0	0.0	0.0	0.0
FOXO4	0.0	0.0	0.0	0.0
FOXO6	1.7662643508978837e-3	7.395751376868653e-3	6.560449859418949e-3	2.3657782927771764e-3
FOXP1	0.0	0.0	0.0	0.0
FOXP2	0.0	0.0	5.524589355300202e-3	3.959057551178091e-3
FOXP3	1.0597586105387524e-3	0.0	0.0	0.0
FOXP4	2.237268177803897e-3	2.3078940466824127e-3	4.103980663937257e-2	8.980301274623459e-3
FOXQ1	2.472770091257015e-3	1.9145030159979037e-2	8.533517486311815e-3	6.75936655079179e-3
FOXR1	1.0067706800117704e-2	3.687385260949383e-2	2.3726138213387316e-2	1.573966782541525e-2
FOXR2	3.8857815719752775e-3	1.3217938630999182e-2	9.076111083707428e-3	3.621089223638463e-3
FOXS1	8.59581984103619e-3	1.9669551534225005e-2	1.5636560943126376e-2	1.4918887601390485e-2
GABPA	0.0	0.0	0.0	0.0
GATA1	2.8848984397997768e-3	5.717282979281424e-3	6.017856262023336e-3	4.87640015449986e-3
GATA2	2.237268177803897e-3	4.825596643063257e-3	2.860948058994728e-3	2.8968713789108147e-3
GATA3	0.0	0.0	0.0	0.0
GATA4	1.4718869590815142e-3	5.717282979281424e-3	3.10758151235635e-3	2.8485901892623122e-3
GATA5	3.414777745069153e-3	1.3008130081300862e-2	5.376609283283207e-3	4.87640015449986e-3
GATA6	2.237268177803897e-3	8.130081300813052e-3	4.04478863513047e-3	3.8624951718810863e-3
GBX1	1.0	1.0	1.0	1.0
GBX2	5.534294966146547e-3	1.825334382376087e-2	9.076111083707428e-3	9.221707222865971e-3
GCM1	6.888430968501669e-3	6.157880933648041e-2	2.4416711882799813e-2	1.332560834298957e-2
GCM2	0.9605534294966147	0.998688696564385	0.9992107729492429	0.9990826573966782
GFI1	1.0597586105387524e-3	0.0	0.0	5.06952491309387e-3
GFI1B	0.259169855755078	0.4507736690270129	0.12459922063828732	4.987446890691383e-2
GLI1	2.7082720047100217e-3	6.136900078678176e-3	0.0	5.552336809579006e-3
GLI2	2.060641742714142e-3	6.136900078678176e-3	4.9326690672323315e-3	4.2970258787176085e-3
GLI3	1.884015307624387e-3	5.5074744295829925e-3	4.686035613870709e-3	4.828118964851247e-3
GLI4	2.237268177803897e-3	1.0	0.9819957579046021	1.5643105446118244e-2
GLIS1	2.237268177803897e-3	6.713873590348807e-3	4.143442016475096e-3	4.152182309772101e-3
GLIS2	1.1186340889019708e-2	2.4914765276685014e-2	1.1295812163961916e-2	8.787176516029338e-3
GLIS3	3.1792758316161462e-3	9.546289011277187e-3	5.672569427317087e-3	0.0
GMEB1	2.7082720047100217e-3	5.769735116705976e-3	5.080649139249216e-3	4.683275395905739e-3
GMEB2	0.188754783632617	1.0	8.632170867656441e-3	2.4140594824251238e-4
GRHL1	0.8730644686488078	8.602150537634357e-3	0.8402801756030188	0.9131904210119737
GRHL2	0.36037680306152486	0.7287699973773931	0.527351649977803	0.34125144843568944
GSC	1.0	0.8035142932074482	0.9429290188921226	0.8852838933951332
GSC2	0.9992934942596409	0.4281143456595856	0.6235386967888324	0.831788335264581
GSX1	6.876655872828963e-2	6.011014948859161e-2	2.239431756523458e-2	1.6560448049439902e-2
GSX2	0.10108919634972036	4.52137424600052e-2	1.6869728209934376e-2	1.9843568945538848e-2
GTF2B	0.0	0.0	0.0	0.0
GTF2I	0.0	0.0	0.0	0.0
GTF2IRD1	1.0597586105387524e-3	1.5735641227376806e-4	2.3676811522714836e-3	1.573966782541525e-2
GTF3A	0.0	0.0	0.0	0.0
GZF1	0.6237268177803945	2.166273275635977e-2	3.7981551817688586e-2	1.0
HAND1	9.832204886664697e-3	4.8832939942302644e-2	2.239431756523458e-2	1.9843568945538848e-2
HAND2	4.627612599352371e-2	5.67007605559926e-2	0.10452325753465197	3.495558130552334e-2
HBP1	0.0	0.0	0.0	0.0
HDX	1.7662643508978837e-3	1.1014948859165985e-2	8.632170867656441e-3	1.4918887601390485e-2
HES1	1.0185457756844318e-2	2.3026488329399464e-2	0.2116115029842648	0.11375048281189648
HES2	1.0	1.6837136113296625e-2	7.941597198243944e-3	0.8025782155272306
HES4	1.0	0.9952268554943614	1.0	1.0
HES5	0.9992934942596409	0.9189089955415684	0.9752380012824939	0.9917439165701043
HES6	0.10273770974389163	1.0	1.0	1.0
HES7	0.9965852222549308	0.8182533438237608	0.9243821831993292	0.9689069138663576
HESX1	3.061524874889643e-3	1.017571466037237e-2	6.412469787401953e-3	4.3935882580147245e-3
HEY1	1.0597586105387524e-3	7.605559926566974e-3	0.9999506733093276	0.9999517188103515
HEY2	1.0	0.9985313401521112	0.9926996497804962	0.9992757821552724
HEYL	1.7662643508978837e-3	2.3078940466824127e-3	6.363143096729695e-3	1.0
HHEX	1.0	0.998688696564385	2.3183544615991702e-2	0.9941096948628814
HIC1	9.714453929938194e-3	1.6837136113296625e-2	1.519262072707539e-2	1.2263422170722293e-2
HIC2	4.6511627906976605e-3	1.033307107264625e-2	0.0	0.8645229818462727
HIF1A	0.0	0.0	0.0	0.0
HIF3A	1.7662643508978837e-3	4.1961709939679626e-3	8.04025057958857e-3	0.3478659714175357
HINFP	0.0	0.0	0.0	0.0
HIVEP1	0.0	0.0	9.076111083707428e-3	0.0
HIVEP2	0.0	0.0	0.0	0.0
HIVEP3	5.887547836326279e-4	3.933910306844979e-3	0.0	0.0
HKR1	0.12569914630556378	6.713873590348807e-2	6.313816406057315e-2	9.8831595210506e-2
HLF	6.217250515160433e-2	0.4644636768948335	3.3640803038524125e-2	2.254731556585554e-2
HLX	0.1985869885192817	2.22397062680304e-2	4.311152764761017e-2	2.1629972962533772e-2
HMBOX1	3.8857815719752775e-3	7.081038552321006e-3	0.0	2.945152568559317e-3
HMG20A	0.0	0.0	0.0	0.0
HMG20B	0.0	0.0	0.0	0.0
HMGA1	0.0	0.0	0.0	0.0
HMGA2	5.304680600529876e-2	0.978756884343037	0.3954520791200118	6.546929316338357e-2
HMX1	2.4256697085663803e-2	3.3621820089168586e-2	5.554185369703546e-2	1.598107377365776e-2
HMX2	1.925228142478652e-2	1.772882244951479e-2	2.076653677304785e-2	1.2842796446504434e-2
HMX3	0.3418310273770975	0.22722265932336738	0.365214817737878	0.21200270374662034
HNF1A	8.654695319399441e-3	1.5263571990558611e-2	6.363143096729695e-3	1.4001544998069049e-3
HNF1B	1.2010597586105343e-2	2.4232887490165278e-2	8.928131011690432e-3	1.1587485515643148e-2
HNF4A	2.237268177803897e-3	8.602150537634357e-3	5.228629211266211e-3	4.345307068366111e-3
