Genes,Naive,Early Extra-GC TFH,Late Extra-GC TFH,GC
MYOG,0.0001477938636329243,0.0001767769250585581,0.0001417014093992409,0.00020857682901217168
MZF1,0.003869534193765005,0.006981241786857063,0.0025637216961352086,0.002702885042650502
NANOG,0.0006439184087375278,0.0007478868019774037,0.0005237599115924293,0.0006515257404859163
NFAT5,0.0019708306077849728,0.0024959645766218664,0.002488498169577924,0.0015981068256420423
NFATC1,0.004487644525094953,0.0030047444229092638,0.005494537760650359,0.006083649541797003
NFATC2,0.00127921814154979,0.0015475772752695446,0.003064127714473288,0.0025939026826539537
NFATC3,0.0010801082009270593,0.0002721408908326914,0.00029878425864280495,0.00033395953444376983
NFATC4,0.0002989756543956493,0.0002947761952363292,0.0002939937868079419,0.0003170161936397438
NFE2L1,0.0005783827091676623,0.00014840943690455364,0.0014994531255439387,0.000551428788655691
NFE2L2,0.0018735386649650992,0.0022531520094779523,0.0013983457442576634,0.0017560323035669852
NFE2L3,0.00012315701373317577,0.0004286420053363042,0.0002767408411401371,0.00012626224056384898
NFE4,0.00023612229257429648,0.0002091429245841394,0.0001952792935687436,0.00023505356044821677
NFIC,0.0002011068609137118,0.0008177053035159519,0.0002808403182086225,0.0006557250612245387
NFKB1,0.0019337350561420103,0.000824149155428135,0.0014475331097824245,0.0021310119941374364
NFYA,0.0018214642215332504,0.0022937397232893285,0.002559843714860989,0.001707090280597633
NFYB,0.000889756844444084,0.001557186420721311,0.0018494002688110077,0.0012540022435079518
NFYC,0.002008283226709347,0.001005072158263775,0.0024774391951803976,0.0019214239756862475
NHLH2,0.00014180261883468183,0.0001357045290943592,0.0001471155621863567,0.00013832778918696948
NKX2-2,0.0002325139431933137,0.00022371282292722044,0.00020370377647597535,0.0003010780371180577
NKX2-5,0.00032572703086582915,0.00030396653699712447,0.0002826675089762456,0.0003642634964567437
NKX3-1,0.0010537049967501183,0.00018406910549361157,0.0001680188930423857,0.00017491407782440775
NKX3-2,0.0002467868479354401,0.00025921882269272023,0.0002720820257747249,0.000261177635921961
NR1D1,0.0004991756766521571,0.00035921143371871346,0.0005717831002509005,0.0004664789912312958
NR1H2,0.0004483310242563619,0.0005225184919886592,0.00027517748895103703,0.00045161652650293913
NR2C2,0.0013137304465725094,0.0015754204831086955,0.0024978550740683827,0.0015729969426448002
NR2E3,0.0003683722789957835,0.00033516259556295297,0.0003316665524627198,0.0003679460423805361
NR2F6,0.001789762484587334,0.0002391370329518439,0.0008018353791403345,0.0007274819707196822
NR3C1,0.0020561310495464326,0.0023039356651637444,0.0014533059616264011,0.00367923817176287
NR4A1,0.00493364307304578,0.003628172221640647,0.0033635524658032143,0.002151945842077349
NR4A2,0.005133615591590145,0.006068068957387776,0.005292129813474447,0.00488357352740861
NR4A3,0.0006085075031157304,0.0005338082983909417,0.0006177701016450983,0.0003398002837913793
NR5A2,0.00021869382295196049,0.0002705398494670046,0.0003072629575304666,0.0005602682093662835
NRF1,0.0018401575055317948,0.0021021490200933204,0.0015532799349672727,0.0022917320114733816
PATZ1,0.0004554601020930544,0.00033954602940576263,0.0007108485198212633,0.0006783803331629065
PAX5,0.0007426242929055834,0.0015789102200232936,0.001797066238893157,0.00021568573379192985
PAX6,0.001063053742597141,0.000663929730331587,0.00024595038319078747,0.000256651445598243
PAX7,0.00012248241359142533,0.00014265614448925372,0.00014984302663091802,0.00013660461908175393
PBX1,0.00021377324565680797,0.00019756658933162095,0.00018510159345314284,0.0001696842787027115
PBX2,0.00048135160910093937,0.0004047093782163873,0.00029997357626333635,0.00020270990412159305
