	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
EGR1	1.8454778828463484e-3	2.662756388354142e-3	3.0058968496986284e-3	2.5831948644282326e-3
EGR2	4.327233451569788e-3	4.35608669467874e-3	2.797222999455267e-3	2.672182759034374e-3
EGR3	5.461439780807304e-4	2.980953631102789e-4	1.1539851758363899e-3	5.946452063432074e-4
EGR4	1.3368923596974498e-4	9.191596142197358e-5	3.846303546006542e-4	8.469974887838157e-5
EHF	1.4346364867358374e-4	1.270283769567543e-4	1.434379907067861e-4	1.4653183649587478e-4
ELF1	1.0880022393359084e-2	9.057875604773913e-3	1.282346045454186e-2	1.0554301294403058e-2
ELF2	1.374917949398103e-3	1.4935657120838924e-3	1.7374540539055847e-3	2.3253856764287087e-3
ELF3	1.901820685826057e-4	1.658567748121375e-4	1.787333809018209e-4	1.7563844269450173e-4
ELF4	1.5164714405906674e-3	2.9617930472790586e-3	2.4892684168441957e-3	1.4312065023004894e-3
ELF5	2.724413597824792e-4	2.4987663828854274e-4	6.242397392289971e-4	2.6719622361843067e-4
ELK1	1.8837022458295409e-3	2.0331563589834384e-3	1.2818319284873805e-3	2.116130901138785e-3
ELK3	1.9424536528025247e-3	2.2337197859013205e-3	2.7237502334683085e-3	1.990654378601629e-3
ELK4	2.874890598361654e-3	2.8116192013091165e-3	2.958423497518166e-3	3.4684568122271475e-3
EMX1	8.133370327443858e-5	7.071548459543434e-5	7.093528670746055e-5	5.594792449577094e-5
EMX2	7.501814545908681e-5	6.31996727245103e-5	7.758227136477015e-5	5.6973608841431086e-5
EN1	1.1548107131384853e-4	1.0200992396410829e-4	1.1132243015000222e-4	9.325911563287141e-5
EN2	7.42077126183654e-5	7.195878322743816e-5	7.132469530367985e-5	5.9473688612133465e-5
EOMES	5.718544347424272e-5	4.602571721786585e-5	4.799908786248465e-5	4.4990467378967005e-5
EPAS1	5.113992646743921e-5	4.850009003139615e-4	4.569916001785738e-5	4.60847366442446e-5
ERF	3.2224091621583736e-4	4.994926029684751e-4	1.9966527751201973e-4	1.3933359002038412e-4
ERG	3.612460094994505e-4	3.113639774369585e-4	3.2875632755221976e-4	3.625291124861065e-4
ESR1	2.783159084907479e-4	1.5757207260206656e-4	1.4243999827683667e-4	1.3892651680118517e-4
ESR2	1.8864960117562934e-4	4.694375889467453e-4	9.936847215045005e-5	2.465344139346425e-4
ESRRA	1.1176748244359478e-3	6.446118991221227e-4	1.3993459335470105e-3	1.7858369507257847e-4
ESRRB	1.4494945958568424e-4	1.2938069472617672e-4	1.1658418619355955e-4	1.229896729450622e-4
ESRRG	9.591140231636596e-5	1.9220151942818018e-4	7.550348493136499e-5	8.005885469529082e-5
ESX1	9.700343389016202e-5	9.178642611040565e-5	9.196141151213598e-5	7.653870543103313e-5
ETS1	6.8185095090553e-3	4.791353265303457e-3	6.725533979533162e-3	6.007934990836816e-3
ETS2	6.871809020882063e-4	1.730673087647679e-4	9.18954710304076e-4	1.2738580859716466e-3
ETV1	1.9726221425819628e-4	7.184979036309681e-4	1.8400775708493769e-4	2.0142065031223162e-4
ETV2	9.452188133012307e-4	1.8905662177982451e-4	5.293046617766106e-4	2.2782010880661308e-4
ETV3	6.150862628792532e-5	7.73303742564392e-5	7.600961629677373e-5	8.536255804026953e-5
ETV3L	5.8897345698926884e-5	4.657993265478198e-5	5.718894006022916e-5	4.7262148743157544e-5
ETV4	2.12038855974051e-4	1.818779627547413e-4	1.9846763466124036e-4	2.0825096877525917e-4
ETV5	2.939923009649336e-4	2.616185739374286e-4	2.6436362955843256e-4	2.6739222665468057e-4
ETV6	1.1055880998165606e-3	1.9507645561974165e-3	1.2349091927496717e-3	5.784448287272794e-4
ETV7	9.777596650466919e-5	3.9205419812491396e-4	1.1177982442848994e-4	9.04559773706663e-5
EVX1	9.669735397253341e-5	8.78047296111569e-5	1.2416292853631233e-4	6.837220717680788e-5
EVX2	9.899314486181818e-5	8.53649680066356e-5	1.0430890978707076e-4	7.491451284946385e-5
FBXL19	1.405707403622148e-5	1.1498100230578598e-5	1.1227675890863808e-5	1.2086344937154458e-5
FERD3L	4.76524281359124e-5	4.075087068403122e-5	4.331708834460589e-5	4.333351154216236e-5
FEV	1.187942827821195e-4	9.754890525178539e-5	1.0865122351984848e-4	1.2010497582025278e-4
FEZF1	1.982498931414587e-4	1.779392227842057e-4	2.0108170059519664e-4	1.6375920680808322e-4
FEZF2	1.4336062061242e-4	1.2373118046950552e-4	1.4715150484206452e-4	1.1923370175075579e-4
FIGLA	1.3983342025668854e-4	7.717306764206938e-5	9.266461036867222e-5	1.0607267779493592e-4
FLI1	1.4333201804348382e-3	2.118198222950036e-3	3.1523896885936667e-3	3.4618061670620695e-3
FOS	3.416324818542676e-2	3.725804781263142e-2	4.1373563745993394e-2	3.303080714285206e-2
FOSB	3.457939470960505e-3	4.702054620484407e-3	4.89653937368144e-3	3.30424792816271e-3
FOSL1	3.075258566616165e-4	2.5482631753222235e-4	2.633568205763425e-4	1.5484686441725693e-3
FOSL2	1.6097669662675087e-4	9.217099555721201e-4	1.1169413851511902e-3	2.653099330224223e-3
FOXA1	2.7519566219009166e-4	2.3054389486043732e-4	2.335326043574018e-4	1.9570351617697958e-4
FOXA2	2.0101377038809795e-4	2.0590455861826322e-4	2.648249871992272e-4	1.4835901058884713e-4
FOXA3	1.9436684735828024e-4	1.801350169981395e-4	1.394293685772927e-4	1.223875835761918e-4
FOXB1	4.0946526917169093e-4	1.318028725865482e-3	1.1408335434308866e-4	1.2496919935001079e-4
FOXB2	1.0078447052796352e-4	9.263506131984706e-5	9.315951213749845e-5	8.335653101514931e-5
FOXC1	7.052942593148168e-4	6.220468075667625e-4	7.235206652471838e-4	8.366905897650786e-4
FOXC2	3.93527535601413e-4	3.5189006052319496e-4	3.032813056722753e-4	2.5421150801961656e-4
FOXD1	1.3763493741724637e-4	1.0386479923318436e-4	9.889377999271465e-5	9.196479945372958e-5
FOXD2	8.617899025656897e-4	2.3659913296555652e-4	2.5291280210026803e-4	2.0889473062828112e-4
FOXD3	4.3981692125128234e-4	4.1787751396088664e-4	3.887873729931863e-4	3.294213906746446e-4
FOXD4	2.157231262703811e-5	2.074462527605713e-5	2.6345375561960897e-5	2.138996944625863e-5
FOXD4L1	2.157231262703811e-5	2.074462527605713e-5	2.6345375561960897e-5	2.138996944625863e-5
FOXD4L3	2.157231262703811e-5	2.074462527605713e-5	2.6345375561960897e-5	2.138996944625863e-5
FOXD4L4	2.157231262703811e-5	2.074462527605713e-5	2.6345375561960897e-5	2.138996944625863e-5
FOXD4L5	2.157231262703811e-5	2.074462527605713e-5	2.6345375561960897e-5	2.138996944625863e-5
FOXD4L6	2.157231262703811e-5	2.074462527605713e-5	2.6345375561960897e-5	2.138996944625863e-5
FOXE1	1.6465408097498087e-4	1.5371903131384396e-4	1.1662034481855403e-4	2.4086028687478594e-4
FOXE3	9.895848806665725e-5	7.627457317358228e-5	8.870173308501318e-5	7.575405311344632e-5
FOXF1	2.1991480673002516e-4	2.1540224903790218e-4	1.3711513479882612e-4	1.4047286292618902e-4
FOXF2	1.4391070608977202e-4	1.4575824699401862e-4	8.953021430950338e-5	7.851903279741063e-5
FOXG1	1.191054230198386e-4	1.0356790726534836e-4	1.3917105381314694e-4	9.623739659550941e-5
FOXH1	8.305923352890425e-5	9.42019980425954e-5	8.842291882452826e-5	8.742142546463069e-5
FOXI1	3.402379921018099e-4	3.2198252969734177e-4	2.667408354133069e-4	2.3542593509624224e-4
FOXI2	1.2074225845763032e-4	1.1807129398279576e-4	1.0222751381811925e-4	9.134944303409993e-5
FOXI3	1.1878668166779737e-4	1.1645590411469867e-4	1.0061447255420582e-4	3.211046387972201e-4
FOXJ1	1.414096052099194e-4	1.1596253690654492e-4	1.1349341628962157e-4	9.690192731307809e-5
FOXJ2	2.5791750823157176e-3	5.347376821414317e-3	1.4449729617245248e-3	1.36791598581407e-3
FOXJ3	7.5680730507794525e-3	6.920134651101126e-3	6.294668036988796e-3	6.803101677686137e-3
FOXK1	2.758271708248018e-3	1.2802882262726678e-3	2.9332690427116724e-3	2.806626182779089e-3
FOXK2	5.918734097756431e-4	3.1845999172496744e-4	2.8808101824806043e-4	5.7553851027342004e-5
FOXL1	1.612148118845187e-4	1.1858659851359904e-4	1.3328362468991898e-4	1.1909144720760685e-4
FOXL2	2.2539477675857832e-4	2.2462326037192944e-4	2.564601848735839e-4	3.8122774813596056e-4
FOXM1	1.2222384040987914e-3	1.7845626841708007e-3	3.727587577393037e-4	9.069772548593607e-4
FOXN1	2.5151955120990053e-5	1.7078738867318797e-5	1.5467202888365155e-5	2.1057899341902607e-5
FOXN2	1.4176417282733773e-4	1.746022064215037e-4	1.2212653368667972e-4	1.685681455336415e-4
FOXN3	2.329902579227755e-3	2.1868887161048418e-3	1.4611884828214625e-3	2.4881966543688822e-3
FOXN4	3.7326673769937386e-5	1.2565008226276894e-5	1.3881118294953785e-5	3.4035081844914704e-5
FOXO1	3.400056505076989e-3	4.885231223566211e-3	4.518942831931329e-3	4.339271627995717e-3
FOXO3	3.98596032518839e-3	3.5884033350479594e-3	3.0448256823677085e-3	2.81001844860106e-3
FOXO4	8.989473960328649e-4	1.4628630499817965e-3	1.1292422156634696e-3	6.340367117208925e-4
FOXO6	1.846939179961983e-4	1.767913270164748e-4	1.7010561125086745e-4	1.5126349025039654e-4
FOXP1	1.8518150622492836e-3	1.7422461096835858e-3	1.998494522419146e-3	1.5591010967531925e-3
FOXP2	7.764467040878517e-4	6.391780488541155e-4	1.5649816371875468e-4	1.5027937200964698e-4
FOXP3	2.794334011564054e-4	1.0822614851129665e-3	1.0895626948884164e-3	5.981273304107578e-4
FOXP4	1.633983208591741e-4	2.91468163280645e-4	7.946250826096234e-5	7.162660206289423e-5
FOXQ1	1.852061665037993e-4	1.6414483589856046e-4	1.1613416021460594e-4	1.076468368868415e-4
FOXR1	9.49997153142804e-5	9.04865780886782e-5	1.7244696475411604e-4	1.0499247773048842e-4
FOXR2	2.0825730223283874e-4	1.4473209621595654e-4	1.6839664538439043e-4	1.6988147476794185e-4
FOXS1	1.0633032834361934e-4	1.0376117739509198e-4	9.37107017568404e-5	8.958676616801597e-5
GABPA	2.119547012952262e-3	7.350287535053601e-4	6.759702401901135e-4	2.09581369171973e-3
GATA1	1.9106708072784507e-4	1.8545711186502715e-4	1.5035213363517188e-4	1.564428455213957e-4
GATA2	1.8106360148447572e-4	2.376207130119869e-4	2.0533995157376623e-4	1.8977224211227326e-4
GATA3	2.8371800779474037e-3	3.689882247044309e-3	4.646367025568589e-3	1.830292593292935e-3
GATA4	2.1786353758306438e-4	2.4431321848204324e-4	2.1650182345582896e-4	2.133284671106964e-4
GATA5	1.6861116527613486e-4	1.9462730484446527e-4	2.235211292402943e-4	1.5974949441724076e-4
GATA6	2.312898537175311e-4	2.473464780249905e-4	2.474871241104848e-4	1.943799178743004e-4
GBX1	2.8991722914817188e-5	2.437401480419166e-5	2.491228321142553e-5	2.4658436455842564e-5
GBX2	1.0680590710628125e-4	1.0223429673976753e-4	1.1273959689979768e-4	8.436009819863085e-5
GCM1	9.58005011151895e-5	7.371388947152144e-5	8.909622869299191e-5	8.189204553672862e-5
GCM2	3.649479792389351e-5	2.7810562457630567e-5	3.269306273688129e-5	3.17239906871475e-5
GFI1	4.88370373279877e-4	6.718320083993007e-4	2.013405647396514e-3	1.4942487274390416e-4
GFI1B	5.642897814172332e-5	5.638007680763341e-5	4.862989697044541e-5	5.745586325798426e-5
GLI1	1.1656173526038965e-4	9.250740385000303e-5	2.537336130373091e-4	9.27566911355685e-5
GLI2	1.296637935992153e-4	1.0491784256252586e-4	1.082912459789089e-4	1.0562451666929009e-4
GLI3	1.2169338115018614e-4	9.695466841313549e-5	1.0533184638962084e-4	1.0320308433491002e-4
GLI4	1.5529080180159556e-4	2.3668495274716683e-5	3.065151638453348e-5	1.034775963259057e-4
GLIS1	9.545678598471155e-5	9.17595385953584e-5	1.0720661051230296e-4	9.920904315787404e-5
GLIS2	4.6392084425815486e-5	4.5677109654075015e-5	6.0771308877722076e-5	5.496212677022376e-5
GLIS3	9.893829488363613e-5	1.0125626455863088e-4	1.0812046825194293e-4	2.0812072836298365e-4
GMEB1	1.671950795999632e-4	7.050713273690566e-5	9.775698595572042e-5	1.215434970216565e-4
GMEB2	4.4518870331186883e-5	1.2545249693689562e-5	1.4152956274616444e-4	1.1766280519042512e-4
GRHL1	6.034648870692257e-5	1.5279280814822722e-4	3.6873294021171665e-5	3.2606222210711826e-5
GRHL2	5.736517674958311e-5	4.307226416469134e-5	4.263973006182971e-5	6.199765997538917e-5
GSC	4.469342910469083e-5	4.0303127585577584e-5	5.0563633943094766e-5	4.573089604999311e-5
GSC2	4.134552238802648e-5	4.615550131260068e-5	5.2867785876225864e-5	4.984587716895155e-5
GSX1	9.708735325966078e-5	8.46881488120179e-5	1.0308855501282231e-4	7.491582461640516e-5
GSX2	1.088505124938129e-4	8.71188466062143e-5	1.0964258652148495e-4	8.241681349637946e-5
GTF2B	1.5866815558554814e-3	1.6970869912102287e-3	2.7229459180807417e-3	2.0842510896949182e-3
GTF2I	9.905097602137993e-4	2.2843828433475994e-3	4.2454080018531455e-4	1.7472409043630664e-3
GTF2IRD1	2.946286964459828e-4	2.6403604526205153e-4	2.047770216314823e-4	8.1500685161213e-5
GTF3A	2.20269587976492e-3	1.203761955563954e-3	1.8876030748695813e-3	1.87022545992701e-3
GZF1	2.014381121669363e-4	8.669260276099627e-5	3.4181458490606196e-5	2.696909187985221e-5
HAND1	8.232303168417477e-5	1.6514086805322894e-4	1.6722864115008046e-4	7.494278396430725e-5
HAND2	6.72202683334942e-5	6.594231418503223e-5	6.860243053942013e-5	6.957765650379694e-5
HBP1	1.205304859152949e-3	6.075229063283972e-4	1.2068104059764688e-3	8.503731648983596e-4
HDX	3.447783156150465e-4	1.636530121556831e-4	1.9006869305664414e-4	3.8962070614622605e-4
HES1	5.806869134709161e-5	5.105065386811367e-5	5.2502624187793215e-5	5.422983773473004e-5
HES2	4.404574001091602e-5	8.955111092884578e-5	9.771236064309739e-5	3.7671416000786484e-5
HES4	1.9266724336491165e-5	1.989746787294738e-5	1.5505680506007378e-5	2.4316656590047657e-5
HES5	3.3016899629007706e-5	3.224680155716075e-5	3.062293771886425e-5	3.7194127520253305e-5
