	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
DMRT1	1.2610767023128177e-4	6.543369512311449e-5	6.560295588339066e-5	8.489461095107585e-5
DMRT2	7.982087897927609e-5	8.853154888882289e-5	1.1282354630066748e-4	1.1373119289274312e-4
DMRT3	9.002067262408593e-5	5.528754663624358e-5	6.228263008182574e-5	7.121415752359662e-5
DMRTA1	1.4666943634233188e-4	7.516165257271507e-5	8.366361749548224e-5	1.05112150472379e-4
DMRTA2	9.23059565067645e-5	4.89156026134025e-5	4.694558183068676e-5	6.83414849089373e-5
DMRTB1	4.58013196307194e-5	5.03813443854693e-5	6.494256212562951e-5	5.908804517869538e-5
DMRTC2	1.329991234658341e-4	8.1821039537053e-5	8.220687434190222e-5	9.259968793538911e-5
DNMT1	1.163439457057531e-3	1.0232758583584333e-3	1.236762363183956e-3	1.2824998763802616e-3
DNTTIP1	3.08290466883773e-5	3.348755753550138e-5	3.479513171393528e-5	4.475476541181587e-5
DPF1	3.808491335220276e-5	3.205220662936893e-5	3.416052856763444e-5	4.609224717382548e-5
DPF3	3.438780851829056e-5	3.0151525249427153e-5	3.192691821352719e-5	4.333449189200117e-5
DPRX	3.8491130555247685e-5	3.254888330989855e-5	3.063881337546961e-5	3.5146161256445444e-5
DRGX	7.31886126090909e-5	6.769831078132528e-5	6.831209550641887e-5	8.694166022728313e-5
DUX1_HUMAN	1.8510069964323395e-5	1.5474062742182412e-5	1.5366156742557334e-5	1.822487519763616e-5
DUX3_HUMAN	1.6991732747362746e-5	1.3148069990779684e-5	1.3040794043223437e-5	1.3734630523668439e-5
DUX4	7.49233709136997e-5	4.952592702641086e-5	6.027242398225235e-5	5.873450257441958e-5
DUXA	8.538631882096788e-5	6.060296703960544e-5	6.704865826641056e-5	6.643641957191629e-5
E2F1	2.2576053242760258e-4	5.248800454238953e-4	2.0606618316790508e-4	2.0449878346879473e-4
E2F2	3.001983093459989e-4	3.591482867266605e-4	1.0021568378019885e-4	9.004953028549963e-5
E2F3	6.656328301025464e-4	3.843530934174382e-4	5.184248408257737e-4	3.66780611440735e-4
E2F4	2.2103959619573024e-3	2.13616357918035e-3	1.498987097441628e-3	2.0223696977639922e-4
E2F5	5.517797059658131e-5	2.849970386967596e-5	3.0829494416506723e-4	4.2297130558933624e-5
E2F6	6.97539597057357e-4	5.761617055361482e-4	2.461672895662728e-4	2.322724160283747e-4
E2F7	7.675998065894565e-5	4.240393010169018e-4	6.840493118542745e-5	5.6028189140545185e-5
E2F8	1.2402662239906814e-4	5.663008428490761e-4	4.9329770530956465e-5	5.827618698141888e-5
E4F1	2.568239807386847e-4	2.972817521869743e-4	1.2536765965926542e-4	1.8838146016904298e-4
EBF1	7.795469516805804e-4	1.0673730109079806e-3	2.1864885758301984e-4	1.0867922180505447e-3
EBF2	2.963616402453938e-5	2.3756146434618264e-5	2.7231343556631146e-5	5.4120265970498464e-5
EBF3	5.93155468805354e-5	6.986489865501213e-5	6.957918180181131e-5	7.107161273835158e-5
EBF4	1.8700035786607856e-5	1.5524799168494438e-5	1.792499718860444e-5	2.311932627398406e-5
EGR1	2.4035516835942674e-3	3.81436508833915e-3	4.69328439297858e-3	4.038189877858917e-3
EGR2	5.003095635600271e-3	4.980706791859928e-3	3.4925430610331485e-3	3.124845568157588e-3
