	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
E2F1	2.309271296613069e-3	0.0	5.915145325332993e-3	8.16075816075812e-3
E2F2	1.1973999315771922e-3	3.8769597818677504e-3	0.2977999063789949	0.17365742365742365
E2F3	0.0	0.0	0.0	0.0
E2F4	0.0	0.0	0.0	5.835380835380821e-3
E2F5	1.0	0.9976567825494206	5.957700327673399e-4	1.0
E2F6	0.0	0.0	0.0	4.475254475254431e-3
E2F7	9.403865891207663e-2	0.0	4.012936720711524e-2	0.1876535626535627
E2F8	2.3947998631542733e-3	0.0	9.61317502872463e-2	0.19348894348894352
E4F1	1.2401642148477388e-3	4.558623040218146e-3	1.000042555002345e-2	3.8610038610038533e-3
EBF1	0.0	0.0	3.532065194263634e-3	0.0
EBF2	0.9999572357167293	1.0	1.0	0.676948051948052
EBF3	0.40360930550803964	0.22320211315610083	3.370356185369594e-2	2.895752895752901e-2
EBF4	1.0	1.0	1.0	1.0
EGR1	0.0	0.0	0.0	0.0
EGR2	0.0	0.0	0.0	0.0
EGR3	0.0	0.0	0.0	0.0
EGR4	2.0526855969893454e-3	1.2738582140422672e-2	0.0	1.1319761319761312e-2
EHF	1.753335614095075e-3	7.413087934560303e-3	5.489595301927719e-3	4.782379782379831e-3
ELF1	0.0	0.0	0.0	0.0
ELF2	0.0	0.0	0.0	0.0
ELF3	1.1546356483065345e-3	4.814246762099517e-3	3.8299502106472483e-3	3.4222534222534406e-3
ELF4	0.0	0.0	0.0	0.0
ELF5	4.276428327065762e-5	0.0	0.0	0.0
ELK1	0.0	0.0	0.0	0.0
ELK3	0.0	0.0	0.0	0.0
ELK4	0.0	0.0	0.0	0.0
EMX1	6.756756756756799e-3	2.1557600545330624e-2	2.1277501170262614e-2	6.322393822393824e-2
EMX2	8.467328087581216e-3	3.0973074301295145e-2	1.6639005915145333e-2	5.585293085293086e-2
EN1	2.736914129319201e-3	1.0949216087252855e-2	7.61734541895398e-3	9.345384345384344e-3
EN2	8.595620937393078e-3	2.0492501704158173e-2	2.0766841142176307e-2	4.2076167076167126e-2
EOMES	4.242216900444751e-2	0.21395705521472397	0.17609259968509294	0.3121270621270621
EPAS1	0.10763770099213132	0.0	0.23830801310694072	0.26654089154089156
ERF	0.0	0.0	2.680965147453085e-3	5.133380133380161e-3
ERG	0.0	0.0	0.0	0.0
ESR1	0.0	5.069870483980887e-3	5.532150304268235e-3	5.133380133380161e-3
