	Naive	Naive	Naive	Naive	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	GC	GC	GC	GC
ASCL1	5.3673264005367205e-3	5.3673264005367205e-3	5.3673264005367205e-3	5.3673264005367205e-3	9.979838709677447e-3	9.979838709677447e-3	9.979838709677447e-3	9.979838709677447e-3	1.3820775746767766e-2	1.3820775746767766e-2	1.3820775746767766e-2	1.3820775746767766e-2	1.1138112596192906e-3	1.1138112596192906e-3	1.1138112596192906e-3	1.1138112596192906e-3
ASCL2	0.9549815498154981	0.9549815498154981	0.9549815498154981	0.9549815498154981	0.6515120967741935	0.6515120967741935	0.6515120967741935	0.6515120967741935	0.9760524807337112	0.9760524807337112	0.9760524807337112	0.9760524807337112	0.0	0.0	0.0	0.0
ATF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATF2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATF3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATF5	0.2651459241865146	0.2651459241865146	0.2651459241865146	0.2651459241865146	0.9897177419354839	0.9897177419354839	0.9897177419354839	0.9897177419354839	0.997452391567416	0.997452391567416	0.997452391567416	0.997452391567416	0.9956966383151074	0.9956966383151074	0.9956966383151074	0.9956966383151074
ATF6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATF6B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATF7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATOH1	1.9926199261992572e-2	1.9926199261992572e-2	1.9926199261992572e-2	1.9926199261992572e-2	4.233870967741937e-2	4.233870967741937e-2	4.233870967741937e-2	4.233870967741937e-2	3.0252850136933906e-2	3.0252850136933906e-2	3.0252850136933906e-2	3.0252850136933906e-2	3.3920615633860063e-3	3.3920615633860063e-3	3.3920615633860063e-3	3.3920615633860063e-3
ATOH7	1.0	1.0	1.0	1.0	0.993850806451613	0.993850806451613	0.993850806451613	0.993850806451613	0.9998726195783708	0.9998726195783708	0.9998726195783708	0.9998726195783708	1.0	1.0	1.0	1.0
BACH1	1.8114726601811126e-3	1.8114726601811126e-3	1.8114726601811126e-3	1.8114726601811126e-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BACH2	7.983898020798352e-3	7.983898020798352e-3	7.983898020798352e-3	7.983898020798352e-3	0.55	0.55	0.55	0.55	1.757849818482904e-2	1.757849818482904e-2	1.757849818482904e-2	1.757849818482904e-2	2.531389226407499e-3	2.531389226407499e-3	2.531389226407499e-3	2.531389226407499e-3
BARHL1	1.0	1.0	1.0	1.0	0.9702620967741935	0.9702620967741935	0.9702620967741935	0.9702620967741935	0.9993630978918541	0.9993630978918541	0.9993630978918541	0.9993630978918541	1.0	1.0	1.0	1.0
BARHL2	1.0	1.0	1.0	1.0	0.9586693548387096	0.9586693548387096	0.9586693548387096	0.9586693548387096	0.9994267881026686	0.9994267881026686	0.9994267881026686	0.9994267881026686	0.9997974888618874	0.9997974888618874	0.9997974888618874	0.9997974888618874
BARX1	1.0	1.0	1.0	1.0	0.9752016129032258	0.9752016129032258	0.9752016129032258	0.9752016129032258	0.9994904783134833	0.9994904783134833	0.9994904783134833	0.9994904783134833	1.0	1.0	1.0	1.0
BARX2	0.8989600805098961	0.8989600805098961	0.8989600805098961	0.8989600805098961	0.993850806451613	0.993850806451613	0.993850806451613	0.993850806451613	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
BATF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BATF3	5.266689030526672e-2	5.266689030526672e-2	5.266689030526672e-2	5.266689030526672e-2	0.5128024193548387	0.5128024193548387	0.5128024193548387	0.5128024193548387	0.6884274886949876	0.6884274886949876	0.6884274886949876	0.6884274886949876	1.2555690562981003e-2	1.2555690562981003e-2	1.2555690562981003e-2	1.2555690562981003e-2
BBX	6.709158000672844e-5	6.709158000672844e-5	6.709158000672844e-5	6.709158000672844e-5	0.7080645161290322	0.7080645161290322	0.7080645161290322	0.7080645161290322	0.23291510094898416	0.23291510094898416	0.23291510094898416	0.23291510094898416	5.012150668286752e-3	5.012150668286752e-3	5.012150668286752e-3	5.012150668286752e-3
BCL11A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BCL11B	2.8581013082858098e-2	2.8581013082858098e-2	2.8581013082858098e-2	2.8581013082858098e-2	2.318548387096775e-3	2.318548387096775e-3	2.318548387096775e-3	2.318548387096775e-3	0.8447869562448251	0.8447869562448251	0.8447869562448251	0.8447869562448251	3.240178209801492e-3	3.240178209801492e-3	3.240178209801492e-3	3.240178209801492e-3
BCL6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BCL6B	0.9998658168399865	0.9998658168399865	0.9998658168399865	0.9998658168399865	0.7391129032258065	0.7391129032258065	0.7391129032258065	0.7391129032258065	0.9988535762053372	0.9988535762053372	0.9988535762053372	0.9988535762053372	1.0	1.0	1.0	1.0
BHLHA15	5.2197249245219735e-2	5.2197249245219735e-2	5.2197249245219735e-2	5.2197249245219735e-2	0.1035282258064516	0.1035282258064516	0.1035282258064516	0.1035282258064516	2.6112986433985075e-2	2.6112986433985075e-2	2.6112986433985075e-2	2.6112986433985075e-2	4.303361684892648e-3	4.303361684892648e-3	4.303361684892648e-3	4.303361684892648e-3
BHLHE22	1.0	1.0	1.0	1.0	0.9960685483870968	0.9960685483870968	0.9960685483870968	0.9960685483870968	0.9998726195783708	0.9998726195783708	0.9998726195783708	0.9998726195783708	1.0	1.0	1.0	1.0
BHLHE23	1.0	1.0	1.0	1.0	0.9959677419354839	0.9959677419354839	0.9959677419354839	0.9959677419354839	0.9998726195783708	0.9998726195783708	0.9998726195783708	0.9998726195783708	1.0	1.0	1.0	1.0
BHLHE40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BHLHE41	0.19644414625964446	0.19644414625964446	0.19644414625964446	0.19644414625964446	0.21955645161290327	0.21955645161290327	0.21955645161290327	0.21955645161290327	0.9441436851155978	0.9441436851155978	0.9441436851155978	0.9441436851155978	0.6265188335358445	0.6265188335358445	0.6265188335358445	0.6265188335358445
