	Naive	Naive	Naive	Naive	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	GC	GC	GC	GC
BACH2	1.6039694258303158e-4	1.6039694258303158e-4	1.6039694258303158e-4	1.6039694258303158e-4	8.970602999238755e-5	8.970602999238755e-5	8.970602999238755e-5	8.970602999238755e-5	1.275952235534307e-4	1.275952235534307e-4	1.275952235534307e-4	1.275952235534307e-4	1.5738424761590027e-4	1.5738424761590027e-4	1.5738424761590027e-4	1.5738424761590027e-4
BARHL1	2.2151871913457587e-5	2.2151871913457587e-5	2.2151871913457587e-5	2.2151871913457587e-5	5.115861885021962e-5	5.115861885021962e-5	5.115861885021962e-5	5.115861885021962e-5	2.4432186293450802e-5	2.4432186293450802e-5	2.4432186293450802e-5	2.4432186293450802e-5	2.479397423645066e-5	2.479397423645066e-5	2.479397423645066e-5	2.479397423645066e-5
BARHL2	2.529329428373331e-5	2.529329428373331e-5	2.529329428373331e-5	2.529329428373331e-5	5.4213271368253204e-5	5.4213271368253204e-5	5.4213271368253204e-5	5.4213271368253204e-5	2.390618539501879e-5	2.390618539501879e-5	2.390618539501879e-5	2.390618539501879e-5	2.7367787305244237e-5	2.7367787305244237e-5	2.7367787305244237e-5	2.7367787305244237e-5
BARX1	2.4369286669688303e-5	2.4369286669688303e-5	2.4369286669688303e-5	2.4369286669688303e-5	4.988406740255428e-5	4.988406740255428e-5	4.988406740255428e-5	4.988406740255428e-5	2.3413749061368333e-5	2.3413749061368333e-5	2.3413749061368333e-5	2.3413749061368333e-5	2.6467087488783514e-5	2.6467087488783514e-5	2.6467087488783514e-5	2.6467087488783514e-5
BARX2	4.945588561866832e-5	4.945588561866832e-5	4.945588561866832e-5	4.945588561866832e-5	4.154453910970803e-5	4.154453910970803e-5	4.154453910970803e-5	4.154453910970803e-5	1.6879853521003358e-5	1.6879853521003358e-5	1.6879853521003358e-5	1.6879853521003358e-5	2.0091965762032792e-5	2.0091965762032792e-5	2.0091965762032792e-5	2.0091965762032792e-5
BATF	1.5783585614589854e-3	1.5783585614589854e-3	1.5783585614589854e-3	1.5783585614589854e-3	9.676073316398752e-4	9.676073316398752e-4	9.676073316398752e-4	9.676073316398752e-4	8.835951543531056e-4	8.835951543531056e-4	8.835951543531056e-4	8.835951543531056e-4	2.690508137155642e-3	2.690508137155642e-3	2.690508137155642e-3	2.690508137155642e-3
BATF3	9.329221600071802e-5	9.329221600071802e-5	9.329221600071802e-5	9.329221600071802e-5	9.265659086395961e-5	9.265659086395961e-5	9.265659086395961e-5	9.265659086395961e-5	5.247854372254624e-5	5.247854372254624e-5	5.247854372254624e-5	5.247854372254624e-5	8.514203775534686e-5	8.514203775534686e-5	8.514203775534686e-5	8.514203775534686e-5
BBX	3.756689931080456e-4	3.756689931080456e-4	3.756689931080456e-4	3.756689931080456e-4	7.872718961639548e-5	7.872718961639548e-5	7.872718961639548e-5	7.872718961639548e-5	7.178250334864075e-5	7.178250334864075e-5	7.178250334864075e-5	7.178250334864075e-5	1.1486459441486187e-4	1.1486459441486187e-4	1.1486459441486187e-4	1.1486459441486187e-4
BCL11A	2.37754515547736e-3	2.37754515547736e-3	2.37754515547736e-3	2.37754515547736e-3	1.2357269034160422e-3	1.2357269034160422e-3	1.2357269034160422e-3	1.2357269034160422e-3	8.88543220113942e-4	8.88543220113942e-4	8.88543220113942e-4	8.88543220113942e-4	6.984230556416718e-4	6.984230556416718e-4	6.984230556416718e-4	6.984230556416718e-4
BCL11B	1.0314197246696474e-4	1.0314197246696474e-4	1.0314197246696474e-4	1.0314197246696474e-4	4.1812872244903574e-4	4.1812872244903574e-4	4.1812872244903574e-4	4.1812872244903574e-4	4.6218293102301155e-5	4.6218293102301155e-5	4.6218293102301155e-5	4.6218293102301155e-5	1.4260237342828387e-4	1.4260237342828387e-4	1.4260237342828387e-4	1.4260237342828387e-4
BCL6	2.0276306573820445e-3	2.0276306573820445e-3	2.0276306573820445e-3	2.0276306573820445e-3	6.69302730711226e-4	6.69302730711226e-4	6.69302730711226e-4	6.69302730711226e-4	4.065887100864704e-3	4.065887100864704e-3	4.065887100864704e-3	4.065887100864704e-3	5.203877635433136e-3	5.203877635433136e-3	5.203877635433136e-3	5.203877635433136e-3
BCL6B	3.1978120760459464e-5	3.1978120760459464e-5	3.1978120760459464e-5	3.1978120760459464e-5	7.670026425144955e-5	7.670026425144955e-5	7.670026425144955e-5	7.670026425144955e-5	2.5931604554631304e-5	2.5931604554631304e-5	2.5931604554631304e-5	2.5931604554631304e-5	2.514383991701113e-5	2.514383991701113e-5	2.514383991701113e-5	2.514383991701113e-5
