Genes,Naive,Early Extra-GC TFH,Late Extra-GC TFH,GC
SIX5,0.00021959651784431784,0.0002857273021754001,0.001200652478719358,0.0002526907367837681
SMAD3,0.0004784171708847344,0.0004988417261930658,0.000983403220410634,0.001335805725427191
SMAD4,0.0008592179359339274,0.0017364764170129123,0.0003842650377165362,0.0006760276635786964
SOX17,0.00020123468443969107,0.0002815500092137486,0.00019387854164761083,0.00028788154726699147
SP1,0.014841982543387524,0.011337011202184536,0.01383941158921878,0.012050599890170674
SP2,0.011810016095032672,0.007666164443786757,0.01716080552528507,0.01068496887043586
SP3,0.010306276183983968,0.004816918871797448,0.010258768159504527,0.01290732490658923
SP4,0.011222292936056536,0.00719354522662666,0.012948305991436305,0.009115597447958252
SPIB,0.0013325616564351743,0.0016458098312269356,0.0028370759764440867,0.0005580925733840305
SREBF1,0.0005776420150709956,0.0015507187927518325,0.0007255088985734224,0.00098975057208418
SREBF2,0.0031571925400400262,0.005847184633456266,0.005080127313007287,0.00403484642263896
SRF,0.0015502683733702278,0.0008554282912145493,0.0005288665884697914,0.000947930574360198
STAT1,0.0016907309861041609,0.00040484004513939326,0.0012212269268090938,0.0019560536309931424
STAT2,0.0007036752497975881,0.0004403238533112219,0.0015283502435171803,0.002482148328990514
STAT3,0.003785013587972333,0.0016105099591750575,0.0024674694539178724,0.006099342321619435
STAT4,0.0005698877476536038,0.00047939247066511727,0.0003833733947912384,0.0004039315185566912
STAT6,0.001697064343029684,0.0009976585252782413,0.001873251321636726,0.0018535971509017464
TCF12,0.003378534308223073,0.00429694356053866,0.0035729406995579187,0.0059137376318218055
TCF3,0.001087352981852245,0.0009495595815748032,0.0006140297793417143,0.0013340512585250882
TCF4,0.0007408968669250826,0.0006496735332818429,0.0006224204643069686,0.00032206027664405086
TCF7,0.003280369456238604,0.0016731864203453329,0.005511305387719266,0.004254884815305511
TFAP2A,0.0005583308800539766,0.0007870601317108732,0.000444384006697483,0.0006509265949830808
TFAP2B,0.0003116829428479213,0.0003650395508495765,0.00022407069071944804,0.00039359370822127614
TFAP2C,0.0004838300299899029,0.0006961594825249367,0.000405261936955399,0.0005931619995593923
TFAP4,0.0006140966090575736,0.0002516927270074184,0.00022834199093200023,0.0008078767991617159
TFCP2,0.0006689538907681113,0.000915518153056044,0.0009895336997727642,0.002275805993505988
TFDP1,0.0028098109934944866,0.0004719608848221021,0.001502805615337305,0.0021450403404699083
TFDP2,0.0008554214210504008,0.000561798109870115,0.0007003722825479153,0.0008814642844397838
TFE3,0.0008233571277084786,0.0012497370423359638,0.0005804477841590916,0.00047054576872683225
TFEB,0.0005920281596709549,0.0003982738632813791,0.0003815816844042737,0.00011047866484963353
TGIF1,0.000625425209122148,0.0020849284111572487,0.0005297340148523552,0.0008212690512242684
TGIF2,0.000484449741014824,0.0011877802888649478,0.0005542423286146506,0.0005079764923390196
THAP1,0.0005563240682462455,0.0005815592842534826,0.0006126058064629909,0.00015168708384127863
THAP11,0.0031135264388404134,0.001092753918045654,0.0018667078234170047,0.0016987794281277573
TP53,0.0006144343976361825,0.0003576516698517432,0.000893018670719122,0.0006443171774433811
USF1,0.0016045306593049438,0.0007606493894830083,0.0009275665913809458,0.001161997609253552
VEZF1,0.011922396870517044,0.007699681199087003,0.010354840246875462,0.005963031863547384
WT1,0.0007993381717553237,0.0005668120084717321,0.0006746783718863472,0.0007742422320966035
XBP1,0.0003473083420722419,0.0003790203218705446,0.0005772928035287828,0.0006357980469652745
XPA,0.0006329994114954372,0.0004208683486304052,0.00036458785506919794,0.0004904645571716866
YBX1,0.0035391136511790985,0.0037083457719157545,0.0032513920967761024,0.003298288768217832
YY1,0.0023385268235677137,0.004841039956597316,0.006062873201295628,0.003767990608681148
ZBED6,0.0005152661003742144,0.000381292081685169,0.0014128063745408137,0.0006001238138332532
ZBTB17,0.003000453128195613,0.002660484415840849,0.002189065800372711,0.0059601039279050414
ZBTB18,0.0005012360047828642,0.00032008986249197884,0.0002958019967987841,0.00017024425746957548
ZBTB33,0.005154579026173197,0.0042654034886473,0.001950719640762781,0.003415868856763124
ZBTB37,0.0006591863677531906,0.000747980499140376,0.0006161917624592356,0.0004835348397760126
ZBTB6,0.0015824138365022854,0.001864618150698396,0.0005691561961652797,0.0004095210396969685
ZBTB7A,0.0010548636139061278,0.000946281168755764,0.00032928520810445046,0.0010907732268488745
ZEB1,0.0019298750037414136,0.0014108644622306613,0.0006463548730864547,0.0035849054948207857
ZFP14,0.0008754272439877992,0.0006024293043151456,0.0005964508691907674,0.0006977971539600563
ZFP3,0.00017196961132967095,0.0005550804878936513,0.0003328374460677682,0.0002752422533349408
ZFP42,0.00045085276370907847,0.000579328445231776,0.00041146644142830166,0.0004447157797724846
ZFP57,0.00024105194091628097,0.0002906486193694629,0.0002228030104461437,0.00029321336072217686
ZFP64,0.0017992205581747191,0.0010111444971742775,0.0005401618649417722,0.0007158498794455399
ZFX,0.005661155770690988,0.002321467904340769,0.014172430242693905,0.006795927851031631
ZIC1,0.0002570511855371091,0.0009031872818423456,0.00021876662420499855,0.0002075972302834532
ZNF10,0.00038669259774997257,0.001150928939597252,0.0003916056691312447,0.0002038504727687865
ZNF100,0.0014107615707520268,0.00267883920168648,0.00385782670070666,0.0027746515500577905
ZNF101,0.0009078127422057554,0.000756028846483959,0.0006830505644628588,0.0010434302579760046
ZNF12,0.0001782378286846818,0.0003001914829460668,0.0003227647341833809,0.0005103723025884684
ZNF121,0.0015771444977369924,0.002052672829425944,0.0033971701385613964,0.002496823112853505
ZNF140,0.0009224355316229104,0.001014738987010124,0.0006839500270656251,0.001644448082915878
ZNF143,0.007927562444865843,0.005462785139159985,0.0024052692833248326,0.005813231028586406
ZNF148,0.006676864393798599,0.00323511887334099,0.003005310022577835,0.006043657615063956
ZNF18,0.000273885646181567,0.0004562150451859768,0.00023465368203711063,0.00047307657584489207
ZNF180,0.002152455161803229,0.001444916254832093,0.00972631347667504,0.006498158641691328
ZNF182,0.0003475043949870178,0.0006265950794024081,0.00017592136420781985,0.00042205839805740567
ZNF200,0.001704519128223576,0.0009592281719339768,0.0017010959110715883,0.0015081614311560569
ZNF202,0.0016235882291107651,0.0006671346423501812,0.00023457363509732428,0.0019124505608265915
ZNF22,0.0010178467077411324,0.0005559596135308948,0.0010274326681860323,0.002403612746022584
ZNF260,0.0016855801377489354,0.0010265844694749189,0.0023411817818272743,0.0010150575643218729
ZNF263,0.0021476491499615915,0.0005079336317453302,0.0015031705645902308,0.0018483006622032172
ZNF267,0.002373169272486663,0.004885808327447465,0.011897361755515676,0.004963637946311092
ZNF274,0.0007356581266621558,0.0004917745911328908,0.0003148948779951392,0.0010588738953282736
ZNF28,0.0006093333552373394,0.0003644911962042853,0.000958943733399436,0.000943322773280515
ZNF281,0.008918596045699497,0.004557449236226834,0.006019892207264737,0.012380108859891097
ZNF282,0.0011408898817800049,0.00047750993379560186,0.00281726112364842,0.0013801445836542751
ZNF283,0.0022218143734358924,0.0014929400729224531,0.0005079640899584557,0.001259173531577364
ZNF30,0.0004861388680742306,0.0004604223427147036,0.0004946391754488772,0.0005457842455884301
ZNF304,0.00017494188083554813,0.00031658185028501815,0.0002097081618997933,0.00016403041791845826
ZNF311,0.0004500813617408922,0.0006714063495678357,0.000672224725894114,0.0005546057986323833
ZNF317,0.00032721146739752937,0.0013548095763634602,0.0005109588897999497,0.00035557869838114843
ZNF320,0.0014282106348555254,0.0003480917894248876,0.00031805187646581786,0.00031632563657243474
ZNF322,0.00018571179805528936,0.00289883493628291,0.0015377721963977888,0.001182661774758483
ZNF324,0.0006078308873574244,0.0009495443380149924,0.0004490399574769317,0.0009925571673349543
ZNF329,0.0007409371806747693,0.0011446391014575102,0.0003343309384439329,0.001352234731417244
ZNF331,0.006412956323063299,0.00415818962828738,0.003640217143122736,0.006452644603700796
ZNF333,0.002429649249238432,0.0004718757728790891,0.0035356621735726443,0.003283621167779373
ZNF335,0.0008703055097842867,0.0005603228765692162,0.0007042358744202364,0.0010143702064224908
ZNF33A,0.0002353127571619616,0.0002519757095018032,0.0002727160291312453,0.0003497234063008992
ZNF341,0.0008068474051531049,0.0017576827848981443,0.009263212119707634,0.005735013692888438
ZNF35,0.000295169435049856,0.0004258029891388709,0.0002700693366084013,0.00137458599182622
ZNF350,0.00018160805026318157,0.0003999634962845968,0.0002314330003591852,0.0007513631409800906
ZNF354C,0.0011180059828896556,0.010328111708995332,0.0010757519269275883,0.005274028727496507
ZNF37A,0.0010019371372571215,0.0008688952422550168,0.0007116106019156615,0.0012249939013084777
ZNF384,0.00017447551462586894,0.0004421125062784975,0.0008220669870915008,0.0018249969379988647
ZNF394,0.003002025179357994,0.002288198471699406,0.002514672423024876,0.001844543382356368
ZNF398,0.0008973584388152284,0.0005652154287195,0.0005500047587431217,0.0005708379884395659
ZNF425,0.0017261798343990472,0.00033152945024405325,0.00027339295429467325,0.0011420304002182653
ZNF430,0.0001927429700145878,0.0004339529502901539,0.0004003380800393917,0.0004491397474405706
ZNF431,0.00022139475746859824,0.0003663914888141917,0.0004085264439833528,0.00040902081567066535
ZNF441,0.0003588874757394577,0.00025242461797371344,0.005372587141716163,0.00033291517563052394
ZNF444,0.0012681609524489916,0.001088566319546984,0.00025041135648676066,0.0007440360404017887
ZNF45,0.0006165106083078538,0.0011104321989686763,0.0004254052587017775,0.0012157884886567845
ZNF454,0.00045301432269814713,0.0012835835081123478,0.00024929556018475337,0.00020023555877831607
ZNF460,0.008875933372127737,0.007068773938062933,0.012181534515887328,0.009365829995345014
