Prot_1,Prot_2
BFSP2,ATF4
BFSP2,ECSIT
PPP3CA,BCL2
LRRC49,AHI1
LRRC49,CEP44
FNDC9,CNIH3
E7ER99,ATG3
FGFR3,ARHGEF38
FGFR3,ATXN7L1
FGFR3,CHGB
PWWP2A,ARID4B
GPATCH1,CEP44
GINM1,CLU
BORCS6,BORCS7
CCDC153,CDR2
WRAP73,AHI1
MTCH2,CHCHD10
FN1,CBX3
FN1,CELF2
FN1,BMP2K
CXCL9,CLEC17A
NCSTN,BSG
FAM189A2,ADGRL1
SAP30,BRMS1
SAP30,CIR1
SAP30,ARID4B
LGALS7|LGALS7B,ACTA2
GUCA1A,AGR2
ATM,BSG
ATR,BSG
TTC28,BSG
ENO1,ARID1B
ENO1,AGR2
ENO1,BCL6
LLGL2,BIRC6
VENTX,ATXN7L1
CFD,HDHD2
CFD,UBC
PTK6,ANKRD55
PTK6,ACTN3
PRKAA2,CDR2
PRKAA2,ABI1
MCL1,BCL2
SORBS3,CCNL1
SORBS2,ABI1
ATG16L1,ATG3
STIL,CCNJL
STIL,ARID1B
FFAR2,AGPAT4
ENDOV,BBS2
ENDOV,APAF1
DDX23,BSG
RAB3IP,BBS1
BCLAF1,ABI1
PARD6A,ARID5B
ERBB2,CHN1
ERBB2,ANKS1B
ERBB2,ANXA6
ERBB3,B3GLCT
KRTAP1-3,ADAM12
SHC1,ANKS1B
ERBB4,ANKS1B
CGRRF1,AGR3
GHITM,CHCHD10
IBTK,CEP44
TIMM8A,ARID3A
TIMM8A,C1QTNF2
DAXX,CBX3
LGALS9C,CD58
MAP1B,ATG3
EIPR1,BBS1
SPICE1,ARID1B
SPICE1,CEP295
SPICE1,CEP44
GNAS,CAT
DPF2,ARID1B
DPF3,ARID1B
DPF1,ARID1B
CLPX,CHCHD10
CRYGA,AGR2
BORCS7,TEX35
VPS45,CASP8
TMCC2,CDR2
BORCS8,AGR2
GMEB1,CASP8
VHL,BCL2L14
VHL,C1QTNF2
RIPK3,CASP8
C1ORF216,CDR2
GPAA1,ACAP2
MOGS,CHGB
RECK,ADAM12
RECK,CEP44
KAT2B,BRCA2
KAT2B,ACTN1
INSR,CD28
RUNX1T1,CDR2
SPTBN2,ATAD2
SPTBN2,ACTR1A
KLF11,CLU
KLF11,CD248
TFAP2D,ADAM12
TFAP2D,AGR2
PCNA,CAT
PCNA,CCDC80
PCNA,ACTN3
ZBTB7B,BCL6
C14ORF119,ACTN1
ADNP2,CBX3
NDUFS1,ACAP2
NDUFS3,CHCHD10
NDUFS3,AGR2
NDUFS6,CHCHD10
ZRANB1,CCNL1
REEP4,AGPAT4
Q9Y649,ARHGEF38
Q9Y649,ATXN7L1
PHC3,AGR2
HDAC4,CDR2
HDAC4,BCL6
RNF8,CEP44
RNF7,CDC34
RNF2,CBX3
NRXN1,ARHGAP10
CLTC,BMP2K
CLTB,BMP2K
FAM118B,BSG
INTS5,BSG
ACTR3,CAT
CLUAP1,BBS1
CLUAP1,BBS2
GPANK1,C1QTNF2
ADNP,CBX3
CNR2,AGPAT4
GNL3L,BSG
POLDIP2,CHCHD10
RASA1,ACAP2
ACTN3,CTAG1A|CTAG1B
ACTN3,USP2
ACTN3,KCTD6
ACTN3,GLIS2
ACTN3,ECM1
ACTN3,MYOT
ACTN3,KIF14
ACTN3,ATP23
ACTN3,RTP5
ACTN3,PKP2
ACTN3,REL
ACTN3,CIT
ACTN3,PRC1
ACTN3,MAGEA6
ACTN3,C2CD6
ACTN3,NDUFAB1
ACTN3,POU6F2
ACTN3,FAM90A1
ACTN3,LHX3
ACTN3,TRAF1
ACTN3,NEBL
ACTN3,ECT2
ACTN3,ASB9
ACTN3,SOHLH1
ACTN3,ZNF343
ACTN3,PCCB
ACTN3,KRT6C
ACTN3,C20ORF85
ACTN3,PLEKHG2
ACTN3,CTDSP1
ACTN3,TTN
ACTN3,PDLIM1
ACTN3,TRAF2
ACTN3,ODF3B
ACTN3,TRIM29
ACTN3,LNX1
ACTN3,ANLN
ACTN3,HGS
ACTN3,C1ORF94
ACTN3,SYNPO2L
ACTN3,PPP1R18
ACTN3,CADPS
ACTN3,SNAI1
ACTN3,ACTN1
ACTN3,CXCL5
ACTN3,ESR2
ACTN3,NKAPD1
ACTN3,ACTN4
ACTN3,ABI3
ACTN3,MICALL2
ACTN3,HOXD12
ACTN3,ZNF426
ACTN3,HSF2BP
