Prot_1,Prot_2
TERF1,PNMT
TERF1,ZFP36L1
RASSF8,NLN
C14ORF93,GTF2B
RASSF1,RELA
RASSF1,FXN
RASSF2,PRMT3
RASSF5,REL
NHP2,YBX1
NFS1,LYRM4
NFS1,FXN
NFS1,CDNF
CHD3,CREB1
CHD3,MTA3
CHD3,ARID4B
CHD3,JUN
CHD3,NR4A1
CHD3,IKZF1
CHD3,BCL11A
CHD3,MBD2
CHD5,ARID4B
CHD5,MTA3
CHD5,BCL11A
CHD5,MBD2
CHD4,DNMT1
CHD4,NFATC1
CHD4,IKZF1
CHD4,JUN
CHD4,FOXJ2
CHD4,BCL11A
CHD4,IKZF3
CHD4,MTA3
CHD4,MBD2
CHD8,CREB1
GID4,IKZF3
CAP1,JUN
ESRRG,REL
ESRRG,NCOA1
DDX5,JUN
DDX5,YBX1
DDX5,YY1
DDX5,DAPK1
TTC1,NDE1
TTC1,HIF1A
TTC1,SREBF2
IL4R,STAT6
TTC3,KIF18A
TTC8,BBS7
TTC8,LZTFL1
DYNC1LI2,DYNC1I2
DYNC1LI2,DYNLT1
EFHC1,REL
EFHC1,IKZF3
ETHE1,RELA
MPG,JUN
MPG,PAFAH1B2
PLSCR4,UBA52
PRDM15,NFATC1
PRDM10,REL
PLSCR1,RBL1
ABCG8,NR4A1
HNF4G,NCOA1
HNF4A,HIF1A
HNF4A,FOXO1
HNF4A,NCOA1
HNF4A,SREBF2
POLRMT,JUN
POLRMT,PRKCZ
KDM1A,RREB1
KDM1A,DNMT1
KDM1A,MTA3
KDM1A,JUN
KDM1A,ZNF333
KDM1A,SAMD3
KDM1A,PPARD
KDM1A,BATF
KDM1A,SPSB1
KDM1A,GATA3
KDM1A,KLF3
KDM1A,EXOC7
KDM1B,DYNC1I2
H2AC14,ELK4
H2AC12,ELK4
FAHD1,JUN
HESX1,STAT3
LOC51064,GTF2I
LOC51064,STAT1
ZFP36L1,ACD
ZFP36L1,TINF2
ZFP36L1,POT1
ZFP36L1,MAPK14
ZFP36L1,AKT2
ZFP36L1,MAPKAPK2
ZFP36L1,PAFAH1B2
GGA2,CA8
FHOD1,JUN
PKD1,PRKCZ
PRKACA,RELA
PRKACA,PRKCZ
PRKACB,PRKCZ
STAMBPL1,REL
STAMBPL1,IKZF3
PSMB6,JUN
PSMB5,JUN
PSMB4,JUN
PSMB4,FOXJ3
PSMB4,BCL6
PSMB3,JUN
PSMB1,JUN
PSMB1,LZTFL1
TALDO1,JUN
A8K932,IKZF1
CIART,NFYC
CRY1,FOXO1
TRIML2,ZBTB33
ACOT12,PAX5
ACOT12,REL
NACC1,FOXJ2
SCAF11,STAT3
TMEM160,CD274
TMEM165,REL
FOXN1,YY1
FOXN1,NR2F6
FOXN1,CUX1
FOXN1,SATB1
F5GZT1,EXOC7
GRIN2C,NBL1
GRIN2C,ZNF333
GNA13,CCR1
CLDN19,CD200R1
TAP2,ZNF281
CHTF18,STAT3
IL6ST,LIF
SNAP91,JUN
SAR1A,JUN
DBN1,RRAS2
DBN1,JUN
CDC73,TOMM20
CDC73,JUN
SEMG1,JUN
SRFBP1,LCOR
TAS2R10,PDCD1LG2
NEUROG3,REL
NEUROG3,TCF12
AKAP5,RSBN1L
GTF2F1,GTF2B
GTF2F2,GTF2B
AKAP8,FOXJ2
AKAP9,IKZF3
AKAP9,SAMD3
EIF2A,JUN
LHX6,ZNF76
LHX6,KLF3
LHX6,NRF1
CCDC115,PRKCZ
NFU1,MDK
RRP1B,JUN
HSP90B1,JUN
KRR1,JUN
KRR1,USP33
DIO2,USP33
VSX2,GTF2B
VSX2,USP33
MAP3K8,REL
MAP3K8,RELA
CUX1,RECQL5
CUX1,NFATC1
CUX1,PTH1R
CUX1,FOXP1
CUX1,FOXK2
CUX1,FOXG1
CUX1,SUMO2
CUX1,FOXE1
CUX1,CNBP
CUX1,FOXO1
CUX1,CIT
CUX1,SOX2
CUX1,BIN1
CUX1,RBPJ
CUX1,JUN
CUX1,WDR83
CUX1,VIRMA
CUX1,FOXJ2
CUX1,SPATS2L
CUX1,CA12
CUX1,FOXD3
CUX1,SLC39A4
CUX1,MAGEA10
CUX1,MAX
CUX1,TACC3
CUX1,STX6
CUX1,UBC
CUX1,GABRE
CUX1,HLA-DQA1
